"Date","Record Number","Record Type","Project Name","Status",
"12/29/2020","21SN0586","Zoning Case","Allen & Sumac Diaz","Approved",
"12/22/2020","21SN0589","Zoning Case","Cassy Paminiano","Approved",
"12/22/2020","21SN0571","Zoning Case","Wynel & Sinclair Harris","Approved",
"12/11/2020","21SN0561","Zoning Case","CP4 Development, LLC","Approved",
"12/09/2020","21SN0565","Zoning Case","Reid Jill","Approved",
"12/08/2020","21SN0585","Zoning Case","Laura Hinkle","Approved",
"12/04/2020","21SN0578","Zoning Case","PREMIER RE FUND V LLC (Meadowbrook Shopping Center Sign)","Approved",
"12/04/2020","21SN0560","Zoning Case","Caroline Kalentzos","Withdrawn",
"12/02/2020","21SN0584","Zoning Case","McCahill, William - Virginia Electric and Power Company d/b/a Dominion Energy Virginia","Withdrawn",
"11/19/2020","21SN0556","Zoning Case","Christian Life Center, Inc.","Approved",
"11/17/2020","21SN0575","Zoning Case","McShay Communities, Inc.","Approved",
"11/16/2020","21SN0582","Zoning Case","April & Derrick Jack","Approved",
"11/16/2020","21SN0566","Zoning Case","Gray Westchester LLC (The Aire atWestchester)","Approved",
"11/13/2020","21SN0570","Zoning Case","Cynthia Mitchell","Approved",
"11/12/2020","21SN0542","Zoning Case",,"Approved",
"11/11/2020","21SN0573","Zoning Case","Middleburg Communities","Approved",
"11/05/2020","21SN0563","Zoning Case","Duke Quality Homes, LLC","Approved",
"10/30/2020","21SN0553","Zoning Case","Centric Development, LLC","Approved",
"10/29/2020","21SN0550","Zoning Case","2400 Station, LLC","Withdrawn",
"10/19/2020","21SN0548","Zoning Case","Manage This, LLC","Approved",
"10/19/2020","21SN0543","Zoning Case","Piedmont Venture LLC","Approved",
"10/14/2020","21SN0559","Zoning Case","Lauren & Timothy Barry","Withdrawn",
"10/09/2020","21SN0557","Zoning Case","Keith Jones Properties, LLC","Approved",
"10/07/2020","21SN0538","Zoning Case","Rachel Massey","Approved",
"10/06/2020","21SN0534","Zoning Case",,"Approved",
"09/29/2020","21SN0537","Zoning Case","Festival Park III, LLC","Approved",
"09/16/2020","21SN0530","Zoning Case","Kirk Lee Nelson","Approved",
"09/09/2020","21SN0525","Zoning Case",,"Approved",
"09/08/2020","21SN0539","Zoning Case","Dan McCarthy/Bon Secours Mercy Health","Approved",
"09/08/2020","21SN0523","Zoning Case","Lifestyle Builders & Developers, Inc.","Approved",
"09/05/2020","21SN0524","Zoning Case",,"Approved",
"09/03/2020","21SN0521","Zoning Case","Coalfield Reserve LLC, Felecia F. Diggs, Keith E. Diggs and Jeanne L. Stigall (Coalfield Reserve Apartments)","Approved",
"09/01/2020","21SN0541","Zoning Case","William and Alena Stewart","Approved",
"08/27/2020","21SN0546","Zoning Case","Westchester Towns Development Company, LLC","Approved",
"08/21/2020","21SN0526","Zoning Case","ARW Properties, LLC","Approved",
"08/19/2020","21SN0520","Zoning Case","Creighton Companies, LLC; Kenbridge Properties, LLC","Approved",
"08/05/2020","21SN0562","Zoning Case","Swift Creek Renewables, LLC and Shoosmith Bros, Inc.","Approved",
"07/31/2020","21SN0551","Zoning Case","Verdad Real Estate & Construction Services","Approved",
"07/28/2020","21SN0519","Zoning Case","Richmond Affordable Housing","Approved",
"07/23/2020","21SN0514","Zoning Case","Second Branch Baptist Church","Approved",
"07/15/2020","21SN0517","Zoning Case","HP Cottage Court Inc.","Approved",
"07/14/2020","21SN0515","Zoning Case",,"Approved",
"07/10/2020","21SN0527","Zoning Case","Lynda Heithaus; Kenneth Lankey; Simon Green","Approved",
"07/08/2020","21SN0529","Zoning Case","Swift Creek Vistas LLC","Approved",
"06/26/2020","21SN0518","Zoning Case",,"Approved",
"06/24/2020","21SN0503","Zoning Case",,"Approved",
"06/23/2020","20SN0615","Zoning Case",,"Approved",
"06/23/2020","21SN0508","Zoning Case","RCB Properties LLC","Approved",
"06/18/2020","21SN0506","Zoning Case","RDK Land Company LLC","Withdrawn",
"06/15/2020","20SN0614","Zoning Case",,"Approved",
"06/04/2020","20SN0613","Zoning Case",,"Approved",
"06/01/2020","20SN0611","Zoning Case","PG & MC, LLC","Withdrawn",
"05/14/2020","20SN0606","Zoning Case",,"Approved",
"05/13/2020","21SN0501","Zoning Case",,"Approved",
"05/05/2020","20SN0604","Zoning Case",,"Approved",
"05/05/2020","20SN0610","Zoning Case","Ian Brown, Harold and Kathy Driver","Approved",
"04/30/2020","21SN0504","Zoning Case","EWN Investments, Inc. (Hancock Station)","Approved",
"04/28/2020","20SN0603","Zoning Case","Goochland/West Creek Limited Partnership","Approved",
"04/26/2020","20SN0607","Zoning Case","Shemik Sellars","Approved",
"04/24/2020","20SN0605","Zoning Case",,"Withdrawn",
"04/21/2020","20SN0602","Zoning Case","Manorhouse Management, Inc.","Withdrawn",
"04/16/2020","20SN0601","Zoning Case",,"Approved",
"03/23/2020","20SN0598","Zoning Case",,"Approved",
"03/20/2020","20SN0594","Zoning Case",,"Approved",
"03/16/2020","20SN0608","Zoning Case","Oasis Park LLC","Approved",
"03/13/2020","20SN0599","Zoning Case",,"Approved",
"03/11/2020","20SN0592","Zoning Case",,"Approved",
"03/11/2020","20SN0589","Zoning Case",,"Withdrawn",
"03/11/2020","20SN0609","Zoning Case","Dudley C. Duncan","Approved",
"03/09/2020","20SN0596","Zoning Case",,"Approved",
"03/06/2020","20SN0600","Zoning Case","Douglas R. and Susan S. Sowers","Approved",
"02/28/2020","20SN0586","Zoning Case",,"Approved",
"02/26/2020","20SN0588","Zoning Case","Nathan & Stephanie Kuper","Withdrawn",
"02/18/2020","20SN0584","Zoning Case",,"Approved",
"02/18/2020","20SN0582","Zoning Case","GRCRE, LLC, LATC, LLC, Tak Tent LP, and Midlogreen, LLC","Approved",
"02/17/2020","20SN0577","Zoning Case",,"Approved",
"02/17/2020","20SN0591","Zoning Case","The Reed's Landing Corporation","Withdrawn",
"02/12/2020","20SN0585","Zoning Case",,"Approved",
"02/06/2020","21SN0522","Zoning Case","S & S Properties, L.C.","Approved",
"02/04/2020","20SN0587","Zoning Case",,"Withdrawn",
"02/04/2020","20SN0579","Zoning Case","Midlothian Turnpike Commercial Rezoning","On Hold",
"01/29/2020","20SN0576","Zoning Case","C. James Williams III","Approved",
"01/28/2020","20SN0573","Zoning Case",,"Approved",
