"Submitted","Record Number","Record Type","Address","Project Name","Status",
"12/31/2019","BLDC-193650136","Commercial New","1675 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/31/2019","BLDC-193650095","Commercial New","1669 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/27/2019","BLDC-193610232","Commercial New","768 WALKER RD GREAT FALLS, VA 22066-0000 United States","VILLAGE CENTER","Inspections Completed",
"12/23/2019","BLDC-193570138","Commercial New","4595 BURKE STATION RD FAIRFAX, VA 22032-0000 United States","WOODLEIGH CHASE MARKETING CENT","Inspections Completed",
"12/19/2019","BLDC-193530141","Commercial New","7825 HERITAGE DR ANNANDALE, VA 22003-5312 United States","BRADDOCK ELEMENTARY SHCOOL","Issued",
"12/19/2019","BLDC-193530138","Commercial New","7825 HERITAGE DR ANNANDALE, VA 22003-5312 United States","BRADDOCK ELEMENTARY SHCOOL","Inspections Completed",
"12/19/2019","BLDC-193530132","Commercial New","7825 HERITAGE DR ANNANDALE, VA 22003-5312 United States","BRADDOCK ELEMENTARY SHCOOL","Closed",
"12/19/2019","BLDC-193530105","Commercial New","12907 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","HAYES","Inspections Completed",
"12/19/2019","BLDC-193530104","Commercial New","12911 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","HAYES","Inspections Completed",
"12/19/2019","BLDC-193530101","Commercial New","12915 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","HAYES","Closed",
"12/19/2019","BLDC-193530098","Commercial New","12919 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","HAYES","Inspections Completed",
"12/19/2019","BLDC-193530085","Commercial New","12923 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","HAYES","Inspections Completed",
"12/19/2019","BLDC-193530077","Commercial New","12917 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","ADDISON","Inspections Completed",
"12/19/2019","BLDC-193530074","Commercial New","12921 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","ADDISON","Inspections Completed",
"12/19/2019","BLDC-193530073","Commercial New","12913 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","ADDISON","Inspections Completed",
"12/19/2019","BLDC-193530069","Commercial New","12909 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","ADDISON","Inspections Completed",
"12/19/2019","BLDC-193530052","Commercial New","12905 SUNRISE RIDGE ALY HERNDON, VA 20171-0000 United States","ADDISON","Inspections Completed",
"12/16/2019","BLDC-193500144","Commercial New","9750 MEADOWLARK GARDENS CT VIENNA, VA 22182-0000 United States","N/A","Inspections Completed",
"12/12/2019","BLDC-193460125","Commercial New","8855 LORTON RD LORTON, VA 22079-0000 United States","POLICE STA & ANIMAL SHELTER","Waiting for Information",
"12/10/2019","BLDC-193440279","Commercial New","4970 WESTCROFT BLVD CHANTILLY, VA 20151-0000 United States","WESTCROFT","Issued",
"12/10/2019","BLDC-193440267","Commercial New","4971 WESTCROFT BLVD CHANTILLY, VA 20151-0000 United States","WESTCROFT","Issued",
"12/10/2019","BLDC-193440194","Commercial New","1675 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440189","Commercial New","1675 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440182","Commercial New","1675 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440177","Commercial New","1675 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440175","Commercial New","1675 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440172","Commercial New","1675 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440170","Commercial New","1675 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440160","Commercial New","1675 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440153","Commercial New","1669 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440145","Commercial New","1669 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440132","Commercial New","1669 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440127","Commercial New","1669 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440121","Commercial New","1669 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440113","Commercial New","1669 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/10/2019","BLDC-193440031","Commercial New",,"COMMON AREA SHELTER","Inspections Completed",
"12/10/2019","BLDC-193440030","Commercial New","1669 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Closed",
"12/09/2019","BLDC-193430384","Commercial New","1669 BANDIT LOOP RESTON, VA 20190-0000 United States","TALL OAKS CONDOMINIUMS","Inspections Completed",
"12/02/2019","BLDC-193360141","Commercial New","2803 POAG ST ALEXANDRIA, VA 22303-0000 United States","PENN DAW / SOUTH ALEX","Closed",
"11/27/2019","BLDC-193310190","Commercial New","8629 RICHMOND HWY ALEXANDRIA, VA 22309-4201 United States","7 ELEVEN INC","Closed",
"11/27/2019","BLDC-193310007","Commercial New",,"HALLEY RISE BLOCK G GARAGE","In Review",
"11/27/2019","BLDC-193310006","Commercial New",,"HALLEY RISE BLOCK G","In Review",
"11/27/2019","BLDC-193310003","Commercial New",,"HALLEY RISE BLOCK G GARAGE","Waiting for Payment",
"11/27/2019","BLDC-193310002","Commercial New",,"HALLEY RISE BLOCK G","In Review",
"11/26/2019","BLDC-193300295","Commercial New","7200 LITTLE RIVER TPKE ANNANDALE, VA 22003-3102 United States","VA ABC 236","Inspections Completed",
"11/26/2019","BLDC-193300227","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300226","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300225","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300224","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300221","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
