"Submitted","Record Number","Record Type","Address","Project Name","Status",
"12/31/2019","BLDR-193650101","Residential New","7227 WESTERLY LN MCLEAN, VA 22101-2610 United States",,"Closed",
"12/31/2019","BLDR-193650085","Residential New","9690 SAINT MARY ELLEN WAY LORTON, VA 22079-0000 United States",,"Closed",
"12/31/2019","BLDR-193650029","Residential New","6023 DOYLE RD CLIFTON, VA 20124-1312 United States",,"Closed",
"12/30/2019","BLDR-193640159","Residential New","4604 TARPON LN ALEXANDRIA, VA 22309-3141 United States","LUIS COTTO-ARROYO","Closed",
"12/27/2019","BLDR-193610185","Residential New","1125 LAURELWOOD DR MC LEAN, VA 22102-1518 United States",,"Closed",
"12/26/2019","BLDR-193600207","Residential New",,,"Submitted",
"12/26/2019","BLDR-193600199","Residential New","215 MARKET SQ NW VIENNA, VA 22180-0000 United States",,"Closed",
"12/26/2019","BLDR-193600183","Residential New","213 MARKET SQ NW VIENNA, VA 22180-0000 United States",,"Closed",
"12/26/2019","BLDR-193600182","Residential New","211 MARKET SQ NW VIENNA, VA 22180-0000 United States",,"Closed",
"12/26/2019","BLDR-193600181","Residential New","209 MARKET SQ NW VIENNA, VA 22180-0000 United States",,"Closed",
"12/26/2019","BLDR-193600180","Residential New","207 MARKET SQ NW VIENNA, VA 22180-0000 United States",,"Closed",
"12/26/2019","BLDR-193600179","Residential New","205 MARKET SQ NW VIENNA, VA 22180-0000 United States",,"Closed",
"12/26/2019","BLDR-193600178","Residential New","203 MARKET SQ NW VIENNA, VA 22180-0000 United States",,"Closed",
"12/26/2019","BLDR-193600148","Residential New","512 ADELMAN CIR SW VIENNA, VA 22180-6334 United States",,"Closed",
"12/26/2019","BLDR-193600129","Residential New","10704 SPRUCE ST FAIRFAX, VA 22030-2829 United States",,"Closed",
"12/26/2019","BLDR-193600064","Residential New","201 MARKET SQ NW VIENNA, VA 22180-0000 United States",,"Closed",
"12/23/2019","BLDR-193570251","Residential New","5505 CLIFTON RD CLIFTON, VA 20124-1035 United States",,"Closed",
"12/23/2019","BLDR-193570188","Residential New","1928 POWHATAN ST FALLS CHURCH, VA 22043-1804 United States",,"Closed",
"12/20/2019","BLDR-193540238","Residential New","1008 FOUNDERS RIDGE LN MC LEAN, VA 22102-0000 United States",,"Issued",
"12/20/2019","BLDR-193540214","Residential New","6073 MOUNT ERIN DR ALEXANDRIA, VA 22315-0000 United States",,"Closed",
"12/20/2019","BLDR-193540119","Residential New","1746 ANDERSON RD FALLS CHURCH, VA 22043-1142 United States",,"Closed",
"12/20/2019","BLDR-193540073","Residential New","1094 FAIRBANK ST GREAT FALLS, VA 22066-1804 United States",,"Closed",
"12/20/2019","BLDR-193540064","Residential New","6629 SPRING VALLEY DR ALEXANDRIA, VA 22312-2136 United States",,"Closed",
"12/19/2019","BLDR-193530244","Residential New","2822 DOUGLASS AVE FALLS CHURCH, VA 22042-2212 United States",,"In Review",
"12/19/2019","BLDR-193530184","Residential New","4712 SPRUCE AVE FAIRFAX, VA 22030-6222 United States",,"In Review",
"12/19/2019","BLDR-193530182","Residential New","6005 CHESTERBROOK RD MC LEAN, VA 22101-3211 United States",,"Closed",
"12/19/2019","BLDR-193530175","Residential New","8203 LEGION DR LORTON, VA 22079-2714 United States",,"Closed",
"12/19/2019","BLDR-193530124","Residential New","7200 ENTERPRISE AVE MCLEAN, VA 22101-0000 United States",,"Closed",
"12/18/2019","BLDR-193520324","Residential New","7203 ELIZABETH DR MC LEAN, VA 22101-2626 United States",,"Closed",
"12/18/2019","BLDR-193520038","Residential New","1011 TURKEY RUN RD MCLEAN, VA 22101-1708 United States",,"Closed",
"12/17/2019","BLDR-193510077","Residential New","1531 INVERNESS PARK LN MCLEAN, VA 22101-0000 United States",,"Closed",
"12/17/2019","BLDR-193510076","Residential New","1530 INVERNESS PARK LN MCLEAN, VA 22101-0000 United States",,"Closed",
"12/16/2019","BLDR-193500142","Residential New","15808 DELANEY CHASE WAY CENTREVILLE, VA 20120-0000 United States","NEW SFD","Closed",
"12/16/2019","BLDR-193500039","Residential New","1126 BASIL RD MCLEAN, VA 22101-1802 United States",,"Closed",
"12/16/2019","BLDR-193500022","Residential New","7423 BETHUNE ST FALLS CHURCH, VA 22043-1350 United States",,"Closed",
"12/13/2019","BLDR-193470255","Residential New","2547 JAMES DAVID WAY ALEXANDRIA, VA 22306-0000 United States",,"Closed",
"12/13/2019","BLDR-193470252","Residential New","2549 JAMES DAVID WAY ALEXANDRIA, VA 22306-0000 United States","BENNINGTON","Closed",
"12/13/2019","BLDR-193470246","Residential New","2551 JAMES DAVID WAY ALEXANDRIA, VA 22306-0000 United States","HOLLINS","Closed",
"12/13/2019","BLDR-193470245","Residential New","2545 JAMES DAVID WAY ALEXANDRIA, VA 22306-0000 United States","HOLLINS","Closed",
"12/13/2019","BLDR-193470241","Residential New","2543 JAMES DAVID WAY ALEXANDRIA, VA 22306-0000 United States",,"Closed",
"12/13/2019","BLDR-193470238","Residential New","2553 JAMES DAVID WAY ALEXANDRIA, VA 22306-0000 United States","SWEET BRIAR","Closed",
"12/13/2019","BLDR-193470237","Residential New","2541 JAMES DAVID WAY ALEXANDRIA, VA 22306-0000 United States","SWEET BRIAR","Closed",
"12/13/2019","BLDR-193470228","Residential New","7815 WOLF RUN SHOALS RD FAIRFAX STATION, VA 22039-2033 United States",,"Closed",
"12/13/2019","BLDR-193470198","Residential New","9522 SANGER ST LORTON, VA 22079-0000 United States",,"Closed",
"12/13/2019","BLDR-193470193","Residential New","404 KRAMER DR SE VIENNA, VA 22180-4917 United States",,"Closed",
"12/13/2019","BLDR-193470190","Residential New","6842 MCFALL PL MC LEAN, VA 22101-5542 United States",,"Closed",
"12/12/2019","BLDR-193460301","Residential New","2515 BELLEVIEW AVE ALEXANDRIA, VA 22303-2309 United States",,"Closed",
"12/12/2019","BLDR-193460208","Residential New","603 ORRIN ST SE VIENNA, VA 22180-4837 United States",,"Closed",
"12/11/2019","BLDR-193450269","Residential New","2516 RAMBLING RD VIENNA, VA 22181-5456 United States",,"Closed",
"12/11/2019","BLDR-193450052","Residential New","6801 NESBITT PL MCLEAN, VA 22101-0000 United States",,"Closed",
"12/10/2019","BLDR-193440339","Residential New","6618 FISHER AVE FALLS CHURCH, VA 22046-1817 United States",,"Issued",
"12/10/2019","BLDR-193440283","Residential New","10306 ELIZABETH ST GREAT FALLS, VA 22066-2921 United States",,"Closed",
"12/10/2019","BLDR-193440199","Residential New","5012 HARVEST GROVE DR FAIRFAX, VA 22030-0000 United States",,"Closed",
"12/10/2019","BLDR-193440191","Residential New","1302 ALPS DR MC LEAN, VA 22102-1502 United States",,"Closed",
"12/10/2019","BLDR-193440180","Residential New","6825 HAMILTON RD LORTON, VA 22079-1220 United States",,"Closed",
"12/10/2019","BLDR-193440045","Residential New","6356 COLUMBIA PIKE FALLS CHURCH, VA 22041-1221 United States",,"Closed",
"12/09/2019","BLDR-193430326","Residential New","13068 AMBER DELL CT FAIRFAX, VA 22030-0000 United States",,"Closed",
"12/09/2019","BLDR-193430290","Residential New","9517 SANGER ST LORTON, VA 22079-0000 United States",,"Closed",
"12/09/2019","BLDR-193430276","Residential New","9519 SANGER ST LORTON, VA 22079-0000 United States",,"Closed",
"12/09/2019","BLDR-193430275","Residential New","9536 SANGER ST LORTON, VA 22079-0000 United States",,"Closed",
"12/09/2019","BLDR-193430257","Residential New","10256 FOREST LAKE DR GREAT FALLS, VA 22066-0000 United States",,"Closed",
"12/09/2019","BLDR-193430232","Residential New","2104 DARTMOUTH DR ALEXANDRIA, VA 22307-1641 United States",,"Issued",
"12/09/2019","BLDR-193430176","Residential New","6515 HARWOOD PL SPRINGFIELD, VA 22152-2012 United States",,"Closed",
"12/09/2019","BLDR-193430163","Residential New","7100 GALGATE DR SPRINGFIELD, VA 22152-3522 United States",,"Closed",
"12/06/2019","BLDR-193400171","Residential New","5011 HARVEST GROVE DR FAIRFAX, VA 22030-0000 United States",,"Closed",
"12/05/2019","BLDR-193390108","Residential New","1452 BUENA VISTA AVE MC LEAN, VA 22101-3510 United States",,"Closed",
"12/04/2019","BLDR-193380323","Residential New","1639 HUNTING AVE MCLEAN, VA 22101-0000 United States",,"Closed",
"12/04/2019","BLDR-193380317","Residential New","6201 LONG MEADOW RD MC LEAN, VA 22101-2312 United States",,"Closed",
"12/04/2019","BLDR-193380181","Residential New","209 CHERRY ST SW VIENNA, VA 22180-5703 United States",,"Closed",
"12/04/2019","BLDR-193380051","Residential New","724 GOLD MINE RD MCLEAN, VA 22102-0000 United States",,"Issued",
"12/04/2019","BLDR-193380009","Residential New","6251 EDSALL RD ALEXANDRIA, VA 22312-0000 United States",,"Closed",
"12/04/2019","BLDR-193380007","Residential New","6255 EDSALL RD ALEXANDRIA, VA 22312-0000 United States",,"Closed",
"12/03/2019","BLDR-193370084","Residential New","6935 HECTOR RD MCLEAN, VA 22101-2111 United States",,"Closed",
"12/03/2019","BLDR-193370030","Residential New","7851 FRANCIS DICKENS LN ANNANDALE, VA 22003-0000 United States","NEUMAN","Closed",
"12/03/2019","BLDR-193370029","Residential New","7849 FRANCIS DICKENS LN ANNANDALE, VA 22003-0000 United States","NEUMAN","Closed",
"12/03/2019","BLDR-193370028","Residential New","7847 FRANCIS DICKENS LN ANNANDALE, VA 22003-0000 United States","HEPBURN","Closed",
