"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"12/16/2011","RZ-2012-DR-016","Rezoning","Approved","DULLES ROCKHILL PARTNERS, LP AND NUGGET JOINT VENTURE, LC","2298 DULLES STATION BV HERNDON, VA 20171","RZ   2012-DR-016",
"12/09/2011","RZ-2012-BR-003","Rezoning","Approved","TARIQ KHAN","4335 SHIRLEY GATE RD FAIRFAX, VA 220305517","RZ   2012-BR-003",
"12/05/2011","RZ-2010-PR-014E","Rezoning","Approved","GEORGELAS GROUP LLC","8405 GREENSBORO DR MC LEAN, VA 22102","RZ   2010-PR-014E",
"12/05/2011","RZ-2010-PR-014X","Rezoning","Withdrawn","GEORGELAS GROUP LLC","8590 LEESBURG PI VIENNA, VA 221822213","RZ   2010-PR-014X",
"12/05/2011","RZ-2010-PR-014C","Rezoning","Withdrawn","GEORGELAS GROUP LLC","8550 LEESBURG PI VIENNA, VA 221822213","RZ   2010-PR-014C",
"12/05/2011","RZ-2010-PR-014D","Rezoning","Approved","GEORGELAS GROUP LLC","8590 LEESBURG PI VIENNA, VA 221822213","RZ   2010-PR-014D",
"11/22/2011","RZ-2012-PR-002","Rezoning","Approved","GREENSBORO PARK PROPERTY OWNER LLC","8200 GREENSBORO DR MC LEAN, VA 221023803","RZ   2012-PR-002",
"11/04/2011","RZ-C-415","Rezoning","Approved","ORLO C PACIULLI",,"RZ       -C -415",
"10/11/2011","RZ-2012-MV-001","Rezoning","Approved","WOODLAWN HOSPITALITY, LLC","8668 RICHMOND HY ALEXANDRIA, VA 22309","RZ   2012-MV-001",
"08/17/2011","RZ-2011-MV-033_SUP1","Rezoning","Superseded","LORTON VALLEY III, L.C.","9600 SANGER ST LORTON, VA 220792709","RZ   2011-MV-033",
"08/11/2011","RZ-2011-PR-030","Rezoning","Approved","FAIRFAX COUNTY SCHOOL BOARD, A BODY CORPORATE","3000 CHAIN BRIDGE RD OAKTON, VA 221242525","RZ   2011-PR-030",
