"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"12/22/2010","RZ-2010-LE-007","Rezoning","Approved","FLEET DRIVE LLC","6716 BEULAH ST ALEXANDRIA, VA 223103232","RZ   2010-LE-007",
"11/23/2010","RZ-2011-SU-004","Rezoning","Approved","INOVA HEALTH CARE SERVICES","12603 OX TR FAIRFAX, VA 220331707","RZ   2011-SU-004",
"11/12/2010","RZ-2011-SU-003","Rezoning","Approved","LYLAB HOLDINGS, LLC","4128 ELMWOOD ST CHANTILLY, VA 201512903","RZ   2011-SU-003",
"10/29/2010","RZ-2010-LE-020","Rezoning","Approved","FB PROPERTY, LLC (A VIRGINIA LIMITED LIABILITY COMPANY)","8100 LOISDALE RD SPRINGFIELD, VA 22150","RZ   2010-LE-020",
"10/25/2010","RZ-2010-MA-017_SUP1","Rezoning","Superseded","UPIA, LLC","4735 BACKLICK RD ANNANDALE, VA 220035941","RZ   2010-MA-017",
"10/21/2010","RZ-2011-LE-007","Rezoning","Approved","GEORGE C. TSENTAS, TRUSTEE","5520 OAKWOOD RD ALEXANDRIA, VA 223101006","RZ   2011-LE-007",
"10/20/2010","RZ-2010-PR-014_SUP1","Rezoning","Superseded","GEORGELAS GROUP, LLC.","8590 LEESBURG PI VIENNA, VA 221822213","RZ   2010-PR-014",
"10/20/2010","RZ-2011-MV-001","Rezoning","Approved","SUMMIT OAKS SECTION 2, LLC",,"RZ   2011-MV-001",
"10/12/2010","RZ-2010-SU-015","Rezoning","Approved","LYLAB HOLDINGS, LLC","14017 DALLAS ST CHANTILLY, VA 201512916","RZ   2010-SU-015",
"10/07/2010","RZ-2010-PR-019_SUP1","Rezoning","Superseded","KETTLER SANDBURG, LLC","8001 ELM PL DUNN LORING, VA 220271121","RZ   2010-PR-019",
"09/29/2010","RZ-2010-LE-018","Rezoning","Approved","WV/B PALISADES DEVELOPMENT LLC","7309 HAYFIELD RD ALEXANDRIA, VA 223154602","RZ   2010-LE-018",
"09/11/2010","RZ-2010-PR-021","Rezoning","Approved","CAPITAL ONE BANK (USA) NA","7798 OLD SPRINGHOUSE RD MC LEAN, VA 221023405","RZ   2010-PR-021",
"09/10/2010","RZ-2010-DR-016","Rezoning","Dismissed","ELM STREET RESIDENTIAL, LLC","6862 ELM ST MCLEAN, VA 221013833","RZ   2010-DR-016",
"08/03/2010","RZ-2010-LE-013","Rezoning","Approved","WPPI SPRINGFIELD HS, LLC","7010 OLD KEENE MILL RD SPRINGFIELD, VA 221503436","RZ   2010-LE-013",
"07/07/2010","RZ-2010-SP-012","Rezoning","Approved","WESTBROOK PROPERTY, LLC",,"RZ   2010-SP-012",
"07/07/2010","RZ-2010-MV-011","Rezoning","Approved","MEMORIAL VENTURE, LLC","6925 RICHMOND HY ALEXANDRIA, VA 223061841","RZ   2010-MV-011",
"06/08/2010","RZ-2010-PR-010","Rezoning","Approved","NEIGHBORHOODS VI, LLC","10334 BLAKE LA OAKTON, VA 221242634","RZ   2010-PR-010",
"05/24/2010","RZ-2010-PR-023_SUP1","Rezoning","Superseded","THE MITRE CORPORATION","7594 COLSHIRE DR MCLEAN, VA 22102","RZ   2010-PR-023",
"05/13/2010","RZ-2010-LE-009","Rezoning","Approved","MR LEWIN PARK CAPITAL, LLC","6926 BEULAH ST ALEXANDRIA, VA 223103235","RZ   2010-LE-009",
"05/11/2010","RZ-2009-SU-024","Rezoning","Approved","SULLY EAST L.C.","3318 CENTREVILLE RD CHANTILLY, VA 201513719","RZ   2009-SU-024",
"04/29/2010","RZ-2010-LE-007_SUP1","Rezoning","Superseded","FLEET DRIVE LLC","6716 BEULAH ST ALEXANDRIA, VA 223103232","RZ   2010-LE-007",
"04/28/2010","RZ-2010-HM-008_SUP1","Rezoning","Superseded","RPB&M LLC AND SECTION 913, LP","1893 METRO CENTER DR RESTON, VA 20190","RZ   2010-HM-008",
"04/16/2010","RZ-2010-HM-006","Rezoning","Approved","SEKAS HOMES, LTD.","8900 OLD COURTHOUSE RD VIENNA, VA 221822149","RZ   2010-HM-006",
"02/25/2010","RZ-2010-LE-005","Rezoning","Approved","JENNINGS BUSINESS PARK, LLC",,"RZ   2010-LE-005",
"01/22/2010","RZ-2010-BR-003","Rezoning","Approved","CHRISTOPHER LAND, LLC","9618 BURKE LAKE RD BURKE, VA 220153002","RZ   2010-BR-003",
