Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
ZMAP-2023-0010      ,Zoning Map Amendment - ZCASE,In Review,,7/25/2023,,,Plan,20035 LUCK LN LEESBURG VA 20175,1.52491E+11,LUCK STONE LEESBURG PLANT : A Zoning Map Amendment to rezone area to MR-HI and amend permitted    uses within application area and consolidate previous proffered       conditions
LEGI-2023-0081,Legislative Land Development Application,In Review,,7/5/2023,,,Plan,24560 DULLES LANDING DR STERLING VA 20166,1.63294E+11,"ZMAP-2023-0009:  A Zoning Map Amendment to rezoning approximately 18.68 acres of from  Planned Development Commercial Center (Regional Center) ( PD-CC(RC) ) to the Planned Development-Industrial Park ( PD-IP )  to establish    PD-IP uses.                                                           
ZMOD-2023-0043:  A Zoning Modification to modify Section 5-1404(B) to eliminate Type B buffer yard adjacent to established PD-CC(RC) uses located to the     north."
ZMAP-2023-0009      ,Zoning Map Amendment - ZCASE,In Review,ARCOLA CENTER PROJECT,7/5/2023,,,Plan,24560 DULLES LANDING DR STERLING VA 20166,1.63294E+11,DULLES LANDING SOUTH : A Zoning Map Amendment to rezoning approximately 18.68 acres of from  Planned DevelopmentCommercial Center (Regional Center) ( PD-CC(RC) ) to the Planned Development-Industrial Park ( PD-IP )  to establish    PD-IP uses.
ZMAP-2023-0008      ,Zoning Map Amendment - ZCASE,In Review,,7/3/2023,,,Plan,,4.87389E+11,VALLEY COMMERCE CENTER : A Zoning Map Amendment to rezone approximately 117.07 acres from      JLMA-3 district to PD-IP to establish a business park.
ZMOD-2023-0037      ,Zoning Modification - ZCASE,In Review,,6/21/2023,,,Plan,,1.2315E+11,"LOUDOUN VALLEY APARTMENTS REZONING : A Zoning Modification to Section 4-808(A)(2) - PD-TC - Eliminate      requirement for min. 40,000SF Town Green.                             SECTION 4-808(A)(3) -Increase maximum total gross floor area devoted  to residential use from 50% TO 100% SECTION 4-808(A)(4) - Eliminate   requirement from minimum 3% of total                                  gross floor area used for civic uses and/or other public uses,        educational uses, cultural uses, or community rooms and building.     SECTION 4-808(A)(8) - Eliminate requirement for  12' sidewalks within the town center core.                                                 SECTION 4-808(B)(1) - Eliminate required block parameters.            SECTION 4-808(B)(2) - Reduce the percentage of pedestrian orientated  -businesses on the ground floor from 50% to 0%."
ZMOD-2023-0038      ,Zoning Modification - ZCASE,In Review,,6/21/2023,,,Plan,,1.2315E+11,LOUDOUN VALLEY APARTMENTS REZONING : A Zoning Modification to reduce the parking requirement to 1.2 spaces per unit for all dwelling units.
ZMAP-2023-0007      ,Zoning Map Amendment - ZCASE,In Review,,6/9/2023,,,Plan,,1.2315E+11,"LOUDOUN VALLEY APARTMENTS REZONING : A Zoning Map Amendment to rezone from PD-H4 (approx. 16 acres) to the PD-TC to allow for the development of up to 255 multifamily attached  units and up to 15,000 square feet of commercial space."
LEGI-2023-0076,Legislative Land Development Application,In Review,,6/9/2023,,,Plan,,1.2315E+11,"ZMAP-2023-0007:  A Zoning Map Amendment to rezone from PD-H4 (approx. 16 acres) to the PD-TC to allow for the development of up to 255 multifamily attached  units and up to 15,000 square feet of commercial space.               
ZMOD-2023-0037:  A Zoning Modification to Section 4-808(A)(2) - PD-TC - Eliminate      requirement for min. 40,000SF Town Green.                             SECTION 4-808(A)(3) -Increase maximum total gross floor area devoted  to residential use from 50% TO 100% SECTION 4-808(A)(4) - Eliminate   requirement from minimum 3% of total                                  gross floor area used for civic uses and/or other public uses,        educational uses, cultural uses, or community rooms and building.     SECTION 4-808(A)(8) - Eliminate requirement for  12' sidewalks within the town center core.                                                 SECTION 4-808(B)(1) - Eliminate required block parameters.            SECTION 4-808(B)(2) - Reduce the percentage of pedestrian orientated  -businesses on the ground floor from 50% to 0%.                       
ZMOD-2023-0038:  A Zoning Modification to reduce the parking requirement to 1.2 spaces per unit for all dwelling units.                                      
"
ZMOD-2023-0036      ,Zoning Modification - ZCASE,In Review,,6/8/2023,,,Plan,43555 RUSSELL BRANCH PKWY ASHBURN VA 20147,83363675000,BELMONT COVE REZONING : A Zoning Modification to modify Section 3-607(B) to allow buildings upto 55 feet in height without the need for additional setbacks for     buildings over 45 feet in height.
ZMOD-2023-0035      ,Zoning Modification - ZCASE,In Review,COMMONWEALTH CENTER PROJECT,6/1/2023,,,Plan,20550 HERON OVERLOOK PLZ ASHBURN VA 20147,40353062000,COMMONWEALTH RESIDENTIAL : A Zoning Modification per ZO Section 3-702(A) to allow access to lots created after the rezoning to be provided by Category A&B private     roads.
