Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
REZ1958-0078,Rezoning - Residential,Superseded,,06/28/1962,,,Plan,,,
REZ1958-0033,Rezoning - Mixed Use,Superseded,,10/06/1960,,,Plan,,,
REZ1958-0081,Rezoning - Residential,Superseded,,11/15/1962,,,Plan,,,
REZ1965-0036,Rezoning - Mixed Use,Approved,,06/17/1965,,,Plan,8330 SUDLEY RD,7696-76-2363,
REZ1964-0021,Rezoning - Mixed Use,Superseded,,07/16/1964,,,Plan,,,
REZ1958-0160,Rezoning - Residential,Approved,,11/07/1963,,,Plan,13000 I-95 HY,8392-59-4465,
REZ1966-0046,Rezoning - Mixed Use,Superseded,,06/23/1966,,,Plan,,,
REZ1967-0039,Rezoning - Mixed Use,Superseded,,05/31/1967,,,Plan,,,
REZ1967-0026,Rezoning - Mixed Use,Superseded,,03/30/1967,,,Plan,,,
REZ1966-0014,Rezoning - Mixed Use,Superseded,,11/18/1965,,,Plan,,,
REZ1970-0020,Rezoning - Mixed Use,Withdrawn,,12/02/1969,,,Plan,,,
REZ1968-0022,Rezoning - Residential,Superseded,,05/28/1968,,,Plan,,,
REZ1966-0033,Rezoning - Mixed Use,Superseded,,04/13/1966,,,Plan,,,
REZ1966-0011,Rezoning - Mixed Use,Superseded,,11/18/1965,,,Plan,,,
REZ1966-0026,Rezoning - Mixed Use,Superseded,,04/13/1966,,,Plan,,,
REZ1969-0013,Rezoning - Mixed Use,Superseded,,12/19/1968,,,Plan,,,DALE CITY RPC
REZ1964-0009,Rezoning - Mixed Use,Superseded,,01/23/1964,,,Plan,,,DALE CITY
REZ1958-0119,Rezoning - Residential,Superseded,,03/07/1963,,,Plan,,,
REZ1970-0027,Rezoning - Mixed Use,Superseded,,01/13/1970,,,Plan,,,
REZ1958-0109,Rezoning - Mixed Use,Superseded,,02/07/1963,,,Plan,,,
REZ1969-0012,Rezoning - Mixed Use,Superseded,,12/12/1968,,,Plan,,,
REZ1958-0140,Rezoning - Mixed Use,Superseded,,01/01/1958,,,Plan,,,
REZ1966-0041,Rezoning - Mixed Use,Superseded,,06/23/1966,,,Plan,,,
REZ1965-0054,Rezoning - Mixed Use,Superseded,,10/28/1965,,,Plan,,,
REZ1964-0023,Rezoning - Mixed Use,Superseded,,07/16/1964,,,Plan,,,
REZ1968-0017,Rezoning - Mixed Use,Superseded,,03/25/1968,,,Plan,,,
REZ1964-0012,Rezoning - Non-Residential,Superseded,,04/02/1964,,,Plan,,,TOWN OF MANASSAS AIRPORT
REZ1970-0014,Rezoning - Mixed Use,Withdrawn,,10/16/1969,,,Plan,,,
REZ1968-0030,Rezoning - Mixed Use,Superseded,,07/17/1968,,,Plan,,,
REZ1966-0038,Rezoning - Residential,Superseded,,06/02/1966,,,Plan,,,SUDLEY RPC
REZ1965-0045,Rezoning - Mixed Use,Superseded,,07/15/1965,,,Plan,,,MONTCLAIR RPC
REZ1969-0029,Rezoning - Mixed Use,Withdrawn,,04/02/1969,,,Plan,,,
REZ1966-0029,Rezoning - Residential,Superseded,,03/17/1966,,,Plan,,,
REZ1968-0028,Rezoning - Residential,Superseded,,07/15/1968,,,Plan,,,
REZ1965-0027,Rezoning - Mixed Use,Superseded,,04/14/1965,,,Plan,,,
REZ1964-0007,Rezoning - Mixed Use,Superseded,,01/01/1964,,,Plan,,,
REZ1969-0006,Rezoning - Mixed Use,Superseded,,10/16/1968,,,Plan,,,
REZ1974-0034,Rezoning - Mixed Use,Withdrawn,,05/08/1974,,,Plan,,,
REZ1979-0043,Rezoning - Mixed Use,Withdrawn,,06/18/1979,,,Plan,,,
REZ1973-0029,Rezoning - Mixed Use,Superseded,,05/09/1973,,,Plan,,,
REZ1970-0046,Rezoning - Mixed Use,Superseded,,05/27/1970,,,Plan,,,
REZ1976-0017,Rezoning - Mixed Use,Superseded,,09/18/1975,,,Plan,,,
REZ1975-0008,Rezoning - Mixed Use,Superseded,,09/24/1974,,,Plan,,,
REZ1976-0038,Rezoning - Mixed Use,Withdrawn,,06/25/1976,,,Plan,,,
REZ1976-0008,Rezoning - Mixed Use,Superseded,,09/03/1975,,,Plan,,,
REZ1971-0023,Rezoning - Mixed Use,Superseded,,12/02/1970,,,Plan,,,
REZ1976-0028,Rezoning - Mixed Use,Superseded,,04/06/1976,,,Plan,,,DALE CITY RPC
REZ1971-0008,Rezoning - Mixed Use,Superseded,,08/24/1970,,,Plan,,,
REZ1977-0016,Rezoning - Mixed Use,Superseded,,04/17/1977,,,Plan,,,
REZ1972-0009,Rezoning - Mixed Use,Withdrawn,,09/01/1971,,,Plan,,,
REZ1974-0030,Rezoning - Mixed Use,Approved,,04/03/1974,,,Plan,,7893-56-6831,
REZ1970-0035,Rezoning - Mixed Use,Superseded,,04/01/1970,,,Plan,,,
REZ1973-0012,Rezoning - Mixed Use,Superseded,,11/17/1972,,,Plan,,,
REZ1972-0007,Rezoning - Mixed Use,Withdrawn,,08/24/1971,,,Plan,,,DALE CITY (WITHDRAWN)
REZ1972-0023,Rezoning - Mixed Use,Superseded,,12/08/1971,,,Plan,,,
REZ1972-0031,Rezoning - Mixed Use,Superseded,,03/06/1972,,,Plan,,,
