Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
REZ1967-0038,Rezoning - Mixed Use,Approved,,07/13/1967,,,Plan,8551 RIXLEW LN,7696-75-2333,BOCS ROUTE 234 AND ROUTE 661
REZ1969-0002,Rezoning - Mixed Use,Approved,,08/13/1968,,,Plan,14711 POTOMAC MILLS RD,8291-75-2140,
PLN2015-00057,Rezoning - Residential,Approved,New Dominion Square Proffer Amendment ,06/23/2014,,,Plan,8808 SHERIDAN LN,7794-89-5015,"NEW DOMINION SQUARE AMENDMENT, REZ#PLN2015-00057,  REZONE 1.15 ACRES FROM A-1 TO PMR (ADDING ONTO THE EXISTING NEW DOMINION SQUARE PMR OF 40.23 ACRES), MINOR AMENDMENTS TO THE REZ #PLN2011-00268 PROFFERS, BASED OFF CPA #PLN2014-00207 INITIATED IN MARCH 2014; CEC, COMMUNITY EMPLOYMENT CENTER"
PLN2014-00095,Rezoning - Non-Residential,Approved,,09/13/2013,,,Plan,7950 MERRIFIELD GARDEN WY,7496-99-5193,"CASEY'S CORNER (REZONE 6.15 AC FROM M-1, HEAVY INDUSTRIAL, TO B-1, GENERAL BUSINESS) CONCURRENT WITH SUP FOR SHEETZ; EI"
REZ1970-0017,Rezoning - Mixed Use,Approved,,11/24/1969,,,Plan,14735 DUMFRIES RD,7891-75-7796,
REZ1966-0019,Rezoning - Mixed Use,Approved,,01/06/1966,,,Plan,4104 JAMES MADISON HY,7200-80-7980,
REZ1968-0011,Rezoning - Mixed Use,Approved,,11/29/1967,,,Plan,2703 CATON HILL RD,8292-64-6777,
PLN2012-00339,Rezoning - Proffer Amendment,Approved,,04/04/2012,,,Plan,12085 SUDLEY MANOR DR,7596-30-6083,PRA WITH REZ PEMBROOKE; B-1 TO PMR & AMEND PRA #PLN2006-00091; B-1; SRM
PLN2015-00120,Rezoning - Proffer Interpretation/Determination,Closed,,09/25/2014,,,Plan,8001 INDUSTRIAL PARK CT,7496-59-2814,PRI - ZONING DETERMINATION FOR BRISTOW INDUSTRIAL PARK.  LANDSCAPE CONTRACTOR AND CONSTRUCTION INDUSTRY BUSINESSES PERMITTED USES.
REZ1971-0011,Rezoning - Mixed Use,Approved,,09/21/1970,,,Plan,3500 BURR LN,8292-87-4183,
REZ1965-0038,Rezoning - Residential,Approved,,06/17/1965,,,Plan,14415 JEFFERSON DAVIS HY,8391-58-3168,VILLAGE SQUARE
REZ1974-0023,Rezoning - Residential,Approved,,02/12/1974,,,Plan,4525 CANARY CT,8191-14-6896,
REZ1984-0039,Rezoning - Residential,Approved,,02/27/1984,,,Plan,4009 CARDINAL CREST DR,8190-79-5393,CARDINAL CREST SEC 5 & 6
REZ1982-0025,Rezoning - Residential,Approved,,05/12/1982,,,Plan,10608 LAKE JACKSON DR,7894-38-2823,
REZ1966-0001,Rezoning - Mixed Use,Superseded,,08/04/1965,,,Plan,13730 HEATHCOTE BL,7397-96-1992,
REZ1981-0032,Rezoning - Residential,Approved,,04/13/1981,,,Plan,7900 MEADOWGATE DR,7892-58-5976,
REZ1965-0033,Rezoning - Mixed Use,Superseded,,06/03/1965,,,Plan,981 HERONS RUN LN,8492-16-0725,
REZ1986-0018,Rezoning - Residential,Approved,,10/24/1985,,,Plan,7319 CENTREVILLE RD,7897-34-3445,ORCHARD BRIDGE
REZ1966-0047,Rezoning - Mixed Use,Approved,,06/23/1966,,,Plan,8332 BETHLEHEM RD,7596-66-9517,
REZ1968-0010,Rezoning - Residential,Approved,,11/22/1967,,,Plan,7577 WHITEHALL DR,7797-82-3670,
REZ1987-0009,Rezoning - Mixed Use,Approved,,07/29/1986,,,Plan,8976 WELLINGTON RD,7696-51-2459,
REZ1982-0001,Rezoning - Mixed Use,Approved,,07/14/1981,,,Plan,8586 WELLINGTON RD,7696-22-0558,
REZ1984-0019,Rezoning - Mixed Use,Superseded,,11/01/1983,,,Plan,2700 POTOMAC MILLS CL,8291-79-0604,POTOMAC MILLS
REZ1968-0002,Rezoning - Mixed Use,Approved,,09/28/1967,,,Plan,17201 INTERSTATE DR,8289-06-4290,
REZ1972-0003,Rezoning - Residential,Approved,,07/26/1971,,,Plan,8307 LELAND RD,7897-11-9729,
REZ1971-0042,Rezoning - Mixed Use,Approved,,04/26/1971,,,Plan,7701 GENERAL MCCLELLAN LN,7597-12-4545,N AND E COMPANY
REZ1985-0005,Rezoning - Residential,Approved,,08/16/1984,,,Plan,12884 LIVIA DR,7499-63-6178,
REZ1964-0006,Rezoning - Mixed Use,Approved,,01/09/1964,,,Plan,15481 FARM CREEK DR,8391-80-9705,
REZ1983-0032,Rezoning - Mixed Use,Approved,,03/29/1983,,,Plan,16206 NEABSCO RD,8390-63-8772,
REZ1985-0044,Rezoning - Mixed Use,Approved,,03/01/1985,,,Plan,13621 G DUMFRIES RD,7892-54-6381,BRADFORD SQUARE
REZ1975-0012,Rezoning - Mixed Use,Approved,,12/30/1974,,,Plan,4941 DAVIS FORD RD,8093-92-1238,
REZ1978-0005,Rezoning - Mixed Use,Approved,,12/12/1977,,,Plan,14007 MINNIEVILLE RD,8192-71-5045,
REZ1978-0016,Rezoning - Mixed Use,Approved,,03/15/1978,,,Plan,10059 ELLIS RD,7895-93-6708,
REZ1975-0005,Rezoning - Mixed Use,Approved,,08/01/1974,,,Plan,17575 WAYSIDE DR,8289-53-0276,
REZ1967-0016,Rezoning - Mixed Use,Approved,,01/19/1967,,,Plan,11113 NOKESVILLE RD,7595-82-9295,
REZ1985-0013,Rezoning - Residential,Approved,,09/19/1984,,,Plan,13715 ORLANDO RD,7792-22-1193,
REZ1983-0044,Rezoning - Mixed Use,Approved,,05/27/1983,,,Plan,8211 WELLINGTON RD,7596-84-2198,
REZ1965-0031,Rezoning - Residential,Approved,,06/03/1965,,,Plan,15050 JEFFERSON DAVIS HY,8391-12-6789,
REZ1973-0013,Rezoning - Mixed Use,Approved,,12/19/1972,,,Plan,13700 SMOKETOWN RD,8292-32-8875,
REZ1986-0033,Rezoning - Residential,Approved,,01/22/1986,,,Plan,2670 PRINCE WILLIAM PY,8391-93-9694,FEATHERSTONE FARMS
REZ1958-0139,Rezoning - Residential,Approved,,05/23/1963,,,Plan,4208 SOUTHWAY LN,8188-55-6312.02,
REZ1976-0022,Rezoning - Mixed Use,Approved,,11/13/1975,,,Plan,5211 PRINCE WILLIAM PY,8093-73-1831,
REZ1973-0027,Rezoning - Residential,Approved,,05/09/1973,,,Plan,1751 ROCHELLE CT,8392-49-5248,
REZ1965-0034,Rezoning - Residential,Approved,,07/15/1965,,,Plan,2942 WETHERBURN CT,8289-69-1495,
REZ1976-0016,Rezoning - Mixed Use,Approved,,09/18/1975,,,Plan,14091 DAVES STORE LN,7397-64-3874,
REZ1978-0013,Rezoning - Residential,Approved,,02/13/1978,,,Plan,3267 BETHEL CHURCH DR,8292-24-3594,ROLLINGWOOD VILLAGE
REZ1986-0026,Rezoning - Residential,Approved,,06/12/1986,,,Plan,15051 JEFFERSON DAVIS HY,8290-97-5612,RIPPON LANDING RPC
REZ1972-0028,Rezoning - Mixed Use,Approved,,02/16/1972,,,Plan,8607 SUDLEY RD,7796-14-3290,
REZ1981-0035,Rezoning - Mixed Use,Approved,,05/26/1981,,,Plan,13298 JEFFERSON DAVIS HY,8492-07-7174,
REZ1983-0047,Rezoning - Mixed Use,Approved,,06/10/1983,,,Plan,2200 OPITZ BL Unit: 100,8391-15-5798.01,
REZ1973-0006,Rezoning - Mixed Use,Approved,,09/22/1972,,,Plan,2359 RESEARCH CT,8292-92-9237,
REZ1986-0045,Rezoning - Residential,Approved,,02/25/1986,,,Plan,6410 LINDERA CT,7992-71-5669,HOLLY FOREST
REZ1983-0042,Rezoning - Residential,Approved,,05/25/1983,,,Plan,14735 DUMFRIES RD,7891-75-7796,
REZ1965-0042,Rezoning - Mixed Use,Approved,,07/15/1965,,,Plan,16551 RIVER RIDGE BL,8289-49-4543,
REZ1974-0028,Rezoning - Mixed Use,Approved,,03/07/1974,,,Plan,14519 PINE LN,8391-37-2588,
REZ1972-0033,Rezoning - Mixed Use,Approved,,04/05/1972,,,Plan,14704 BLACKBURN RD,8391-56-2325,
REZ1968-0008,Rezoning - Residential,Approved,,11/09/1967,,,Plan,4208 MEYERS RD,8188-55-7081,
REZ1980-0016,Rezoning - Mixed Use,Approved,,12/20/1979,,,Plan,14514 TELEGRAPH RD,8291-88-0913,
REZ1986-0024,Rezoning - Mixed Use,Approved,,12/09/1985,,,Plan,8454 WELLINGTON RD,7696-12-1576,VIRGINIA CRANE RENTAL
REZ1985-0038,Rezoning - Mixed Use,Approved,,02/13/1985,,,Plan,8750 RIXLEW LN,7696-56-8064,MANASSAS MALL
REZ1967-0004,Rezoning - Mixed Use,Approved,,09/07/1966,,,Plan,14203 LEE HY,7397-53-4287,
REZ1989-0100,Rezoning - Mixed Use,Superseded,,05/15/1989,,,Plan,13014 VINT HILL RD,7595-15-3869,VILLAGES AT SAYBROOKE RPC
REZ1980-0001,Rezoning - Mixed Use,Approved,,08/03/1979,,,Plan,8563 SUDLEY RD,7796-05-5612,
