Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Completion Date,Start Date,Expected End Date,Completed Date,Finalized Date,Requested Date,Scheduled Date,Module Name,Address,Main Parcel
"ZNA2016-03157","Zoning Approval - Occupancy Permit Approval","Approved","","","11/30/2015","","","","","","","","","Plan","7840 WELLINGFORD DR MANASSAS VA 20109","7597-10-3032"
"ZPA2000-01764","Zoning Approval - Sign","Approved","","","09/30/1999","","","","","","","","","Plan","2079 DANIEL STUART SQ","8391-26-7103"
"LBE1996-00102","Bonds/Escrows Future Construction","Active","","","09/06/1995","","","","","","","","","Plan","2542 PRINCE WILLIAM PY","8292-83-5811"
"ZPA2001-03057","Zoning Approval - Sign","Voided","","","01/02/2001","","","","","","","","","Plan","6518 OLD CAROLINA RD","7298-92-6903"
"ZPA2000-02009","Zoning Approval - Sign","Approved","","","10/15/1999","","","","","","","","","Plan","16806 JEFFERSON DAVIS HY","8289-49-0038"
"ZPA2002-03229","Zoning Approval - Sign","Approved","","","12/07/2001","","","","","","","","","Plan","7750 PROGRESS CT","7497-12-2047"
"ZPA2000-02019","Zoning Approval - Sign","Approved","","","10/15/1999","","","","","","","","","Plan","6895 WELLINGTON RD","7596-09-6091"
"ZPA2001-03313","Zoning Approval - Sign","Approved","","","01/22/2001","","","","","","","","","Plan","7637 LINTON HALL RD","7397-63-9418"
"ZPA2010-00453","Zoning Approval - Sign","Approved","","","07/25/2009","","","","","","","","","Plan","14030 TELEGRAPH RD","8292-81-3562"
"ZPA2000-03510","Zoning Approval - Sign","Approved","","","02/09/2000","","","","","","","","","Plan","1520 OLD BRIDGE RD","8393-60-2876"
"ZPA2001-05310","Zoning Approval - Occupancy Permit Approval","Approved","","","04/30/2001","","","","","","","","","Plan","11252 BALLS FORD RD","7597-84-7189"
"ZPA2002-08167","Zoning Approval - Sign","Approved","","","06/28/2002","","","","","","","","","Plan","12700 BLACK FOREST LN","8193-11-6971"
"ZPA2000-02022","Zoning Approval - Sign","Approved","","","10/15/1999","","","","","","","","","Plan","2631 PRINCE WILLIAM PY","8292-82-6528"
"ZPA2001-01920","Zoning Approval - Occupancy Permit Approval","Approved","","","10/16/2000","","","","","","","","","Plan","9053 WELLINGTON RD","7696-61-1189"
"ZPA1998-03362","Zoning Approval - Certificate of Zoning Approval","Approved","","","03/02/1998","","","","","","","","","Plan","5210 DAVIS FORD RD","8093-76-9415"
"ZPA2003-02677","Zoning Approval - Sign","Approved","","","10/07/2002","","","","","","","","","Plan","1991 DANIEL STUART SQ Unit: Y","8391-35-1387"
