Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Completion Date,Start Date,Expected End Date,Completed Date,Finalized Date,Requested Date,Scheduled Date,Module Name,Address,Main Parcel
"PLN2008-00291","Rezoning - Proffer Interpretation/Determination","Closed","","","12/03/2007","","","","","","","","","Plan","16933 OLD STAGE RD","8189-88-9572"
"PLN2006-00848","Rezoning - Non-Residential","Approved","","","05/30/2006","","","","","","","","","Plan","10400 HARRY J PARRISH BL","7695-50-4441"
"PLN2009-00423","Rezoning - Non-Residential","Withdrawn","","","04/09/2009","","","","","","","","","Plan","13930 MINNIEVILLE RD","8192-74-5435"
"PLN2007-00267","Rezoning - Proffer Interpretation/Determination","Closed","","","11/16/2006","","","","","","","","","Plan","13520 FOULGER SQ","8292-43-1696"
"PLN2009-00207","Rezoning - Proffer Interpretation/Determination","Closed","","","10/30/2008","","","","","","","","","Plan","15533 SPRIGGS RD","8091-71-7904"
"PLN2010-00151","Rezoning - Proffer Amendment","Approved","","","10/06/2009","","","","","","","","","Plan","7900 CRESCENT PARK DR","7296-19-2979"
"PLN2008-00328","Rezoning - Proffer Amendment","Approved","","","12/26/2007","","","","","","","","","Plan","13704 TELEGRAPH RD","8292-83-1093"
"PLN2010-00323","Rezoning - Non-Residential","Denied","","","03/17/2010","","","","","","","","","Plan","13817 SPRIGGS RD","7992-92-7571"
"PLN2012-00190","Rezoning - Proffer Interpretation/Determination","Closed","","","12/02/2011","","","","","","","","","Plan","15131 LILYWOOD LN","7298-74-8054"
"PLN2008-00490","Rezoning - Proffer Interpretation/Determination","Closed","","","03/12/2008","","","","","","","","","Plan","15533 SPRIGGS RD","8091-71-7904"
"PLN2007-00585","Rezoning - Non-Residential","Approved","","","03/19/2007","","","","","","","","","Plan","2439 RESEARCH CT","8292-92-4917"
"PLN2007-00547","Rezoning - Proffer Interpretation/Determination","Closed","","","03/13/2007","","","","","","","","","Plan","11951 TAC CT","7596-37-1282"
"PLN2009-00508","Rezoning - Proffer Interpretation/Determination","Closed","","","06/04/2009","","","","","","","","","Plan","14105 GLENKIRK RD","7396-52-8524"
"REZ1972-0030","Rezoning - Mixed Use","Approved","","","03/06/1972","","","","","","","","","Plan","16925 OLD STAGE RD","8189-77-5597"
"REZ1976-0003","Rezoning - Mixed Use","Approved","","","08/18/1975","","","","","","","","","Plan","3500 BURR LN","8292-86-4561"
"REZ1965-0018","Rezoning - Residential","Approved","","","05/20/1965","","","","","","","","","Plan","10280 CUB RUN CT","7696-77-1187"
"REZ1969-0015","Rezoning - Mixed Use","Approved","","","12/30/1968","","","","","","","","","Plan","10690 D CRESTWOOD DR","7696-38-9863.02"
"REZ1958-0143","Rezoning - Mixed Use","Approved","","","06/06/1963","","","","","","","","","Plan","16212 NEABSCO RD","8390-63-9195"
"REZ1971-0019","Rezoning - Mixed Use","Superseded","","","10/19/1970","","","","","","","","","Plan","12311 IZAAK WALTON DR","7693-94-3394"
"REZ1981-0014","Rezoning - Mixed Use","Superseded","","","02/06/1981","","","","","","","","","Plan","1300 UTAH CT","8391-80-6970"
"REZ1981-0034","Rezoning - Mixed Use","Approved","","","05/12/1981","","","","","","","","","Plan","2505 CATON HILL RD","8292-84-0425"
"REZ1981-0023","Rezoning - Mixed Use","Approved","","","02/24/1981","","","","","","","","","Plan","13180 MARINA WY","8492-19-7211"
"REZ1967-0002","Rezoning - Residential","Approved","","","10/06/1966","","","","","","","","","Plan","8930 GOLDEN OAK ST","7696-72-1977"
