Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
REZ1970-0042,Rezoning - Residential,Superseded,,04/14/1970,,,Plan,,,
REZ1971-0041,Rezoning - Residential,Approved,,04/26/1971,,,Plan,3601 JURGENSEN DR,8288-08-0724,
REZ1978-0009,Rezoning - Residential,Superseded,,01/12/1978,,,Plan,,,
REZ1974-0015,Rezoning - Mixed Use,Superseded,,12/03/1973,,,Plan,,,
REZ1976-0023,Rezoning - Mixed Use,Withdrawn,,12/11/1975,,,Plan,,,
REZ1974-0026,Rezoning - Mixed Use,Superseded,,04/17/1974,,,Plan,,,
REZ1972-0021,Rezoning - Mixed Use,Superseded,,11/18/1971,,,Plan,,,DALE CITY RPC
REZ1975-0010,Rezoning - Mixed Use,Withdrawn,,10/28/1974,,,Plan,,,
REZ1979-0044,Rezoning - Mixed Use,Withdrawn,,06/22/1979,,,Plan,,,
REZ1974-0021,Rezoning - Mixed Use,Superseded,,02/06/1974,,,Plan,,,RIPPON LANDING RPC
REZ1971-0031,Rezoning - Mixed Use,Superseded,,03/08/1971,,,Plan,,,
REZ1977-0002,Rezoning - Mixed Use,Superseded,,10/12/1976,,,Plan,,,SUDLEY RPC
REZ1991-0007,Rezoning - Mixed Use,Withdrawn,,06/27/1990,,,Plan,,,
REZ1990-0074,Rezoning - Non-Residential,Superseded,,06/07/1990,,,Plan,,,DELANEY ROAD PROJECT
REZ1998-0032,Rezoning - Non-Residential,Superseded,,05/15/1998,,,Plan,4325 SEETON SQ,8193-40-4091,"GLEN, PARCEL 3A"
REZ1958-0056,Rezoning - Mixed Use,Superseded,,10/19/1961,,,Plan,,,
REZ1958-0086,Rezoning - Mixed Use,Approved,,08/08/1962,,,Plan,1250 FEATHERSTONE RD,8391-95-0943,
REZ1958-0020,Rezoning - Mixed Use,Withdrawn,,01/21/1960,,,Plan,,,
REZ1958-0075,Rezoning - Mixed Use,Superseded,,11/15/1962,,,Plan,,,
REZ1958-0032,Rezoning - Mixed Use,Approved,,08/11/1960,,,Plan,13000 I-95 HY,8392-59-4465,
REZ1958-0057,Rezoning - Residential,Superseded,,02/01/1962,,,Plan,,,
REZ1958-0062,Rezoning - Mixed Use,Superseded,,11/15/1962,,,Plan,,,
REZ1958-0054,Rezoning - Mixed Use,Superseded,,11/02/1961,,,Plan,,,
REZ1958-0035,Rezoning - Mixed Use,Approved,,09/29/1960,,,Plan,4075 SUDLEY RD,7200-91-4345,
REZ1958-0103,Rezoning - Mixed Use,Superseded,,08/22/1963,,,Plan,,,
REZ1958-0029,Rezoning - Mixed Use,Superseded,,01/01/1958,,,Plan,,,
REZ1969-0033,Rezoning - Mixed Use,Superseded,,05/14/1969,,,Plan,,,
REZ1970-0018,Rezoning - Mixed Use,Approved,,11/12/1969,,,Plan,8747 VULCAN LN Unit: APAC PLANT #410,7696-13-2182,
REZ1964-0008,Rezoning - Mixed Use,Superseded,,01/09/1964,,,Plan,,,
REZ1965-0055,Rezoning - Mixed Use,Approved,,08/26/1965,,,Plan,8318 BETHLEHEM RD,7596-76-2462,
REZ1967-0003,Rezoning - Mixed Use,Superseded,,10/06/1966,,,Plan,,,
REZ1968-0018,Rezoning - Mixed Use,Superseded,,03/27/1968,,,Plan,,,
REZ1958-0138,Rezoning - Residential,Approved,,07/11/1963,,,Plan,13000 I-95 HY,8392-59-4465,
REZ1965-0010,Rezoning - Residential,Superseded,,01/21/1965,,,Plan,,,
REZ1958-0131,Rezoning - Mixed Use,Superseded,,04/17/1963,,,Plan,,,
REZ1965-0023,Rezoning - Mixed Use,Superseded,,01/01/1965,,,Plan,,,
REZ1965-0012,Rezoning - Mixed Use,Approved,,01/28/1965,,,Plan,16245 NEABSCO RD Unit: 4,8390-73-8656,
REZ1970-0013,Rezoning - Mixed Use,Superseded,,10/16/1969,,,Plan,,,SUDLEY RPC
REZ1966-0025,Rezoning - Mixed Use,Superseded,,02/17/1966,,,Plan,,,MONTCLAIR RPC
REZ1958-0151,Rezoning - Mixed Use,Superseded,,07/11/1963,,,Plan,,,
REZ1967-0024,Rezoning - Mixed Use,Superseded,,01/01/1967,,,Plan,,,
REZ1970-0024,Rezoning - Mixed Use,Superseded,,12/17/1969,,,Plan,,,
REZ1958-0134,Rezoning - Residential,Superseded,,05/23/1963,,,Plan,,,
REZ1969-0017,Rezoning - Mixed Use,Approved,,01/17/1969,,,Plan,14619 POTOMAC MILLS RD,8291-66-4648,
REZ1969-0008,Rezoning - Mixed Use,Withdrawn,,11/12/1968,,,Plan,,,
REZ1966-0008,Rezoning - Mixed Use,Superseded,,11/18/1965,,,Plan,,,DALE CITY RPC
REZ1964-0016,Rezoning - Mixed Use,Approved,,06/11/1964,,,Plan,13000 I-95 HY,8392-59-4465,
REZ1965-0028,Rezoning - Residential,Superseded,,04/14/1965,,,Plan,,,
REZ1966-0049,Rezoning - Mixed Use,Superseded,,09/15/1966,,,Plan,,,
REZ1967-0040,Rezoning - Mixed Use,Superseded,,06/06/1967,,,Plan,,,
REZ1970-0008,Rezoning - Mixed Use,Superseded,,09/22/1969,,,Plan,,,
REZ1976-0033,Rezoning - Mixed Use,Superseded,,04/30/1976,,,Plan,,,
REZ1971-0037,Rezoning - Mixed Use,Superseded,,04/01/1971,,,Plan,,,
REZ1974-0019,Rezoning - Mixed Use,Superseded,,01/29/1974,,,Plan,,,
REZ1979-0016,Rezoning - Mixed Use,Withdrawn,,01/30/1979,,,Plan,,,
REZ1977-0010,Rezoning - Residential,Superseded,,02/14/1977,,,Plan,,,
REZ1970-0031,Rezoning - Mixed Use,Superseded,,01/30/1970,,,Plan,,,
REZ1973-0001,Rezoning - Mixed Use,Withdrawn,,02/10/1972,,,Plan,,,
REZ1974-0014,Rezoning - Mixed Use,Superseded,,12/12/1973,,,Plan,,,
REZ1973-0018,Rezoning - Mixed Use,Superseded,,02/20/1973,,,Plan,,,
REZ1976-0029,Rezoning - Mixed Use,Superseded,,04/06/1976,,,Plan,,,DALE CITY RPC
REZ1974-0020,Rezoning - Mixed Use,Superseded,,01/29/1974,,,Plan,,,
REZ1973-0036,Rezoning - Mixed Use,Superseded,,07/02/1973,,,Plan,,,
REZ1975-0002,Rezoning - Mixed Use,Superseded,,07/25/1974,,,Plan,,,
REZ1976-0026,Rezoning - Residential,Withdrawn,,02/27/1976,,,Plan,,,
REZ1978-0022,Rezoning - Mixed Use,Superseded,,05/19/1978,,,Plan,,,
REZ1982-0018,Rezoning - Mixed Use,Withdrawn,,03/11/1982,,,Plan,,,
REZ1981-0046,Rezoning - Mixed Use,Withdrawn,,06/30/1981,,,Plan,,,
REZ1986-0054,Rezoning - Mixed Use,Withdrawn,,04/10/1986,,,Plan,,,
REZ1983-0005,Rezoning - Mixed Use,Superseded,,07/28/1982,,,Plan,,,DALE CITY (DENIED)
REZ1986-0014,Rezoning - Mixed Use,Approved,,05/22/1986,,,Plan,17301 VAN BUREN RD,8189-76-3891,VAN BUREN INVESTMENTS
REZ1983-0006,Rezoning - Mixed Use,Superseded,,08/06/1982,,,Plan,7500 BROKEN BRANCH LN,7697-33-9426,SUDLEY RPC
REZ1981-0027,Rezoning - Mixed Use,Superseded,,03/23/1981,,,Plan,,,
REZ1983-0003,Rezoning - Mixed Use,Superseded,,07/22/1982,,,Plan,,,RIPPON LANDING RPC
REZ1983-0036,Rezoning - Mixed Use,Withdrawn,,04/18/1983,,,Plan,,,
REZ1983-0022,Rezoning - Mixed Use,Superseded,,02/04/1983,,,Plan,,,
REZ1981-0043,Rezoning - Mixed Use,Superseded,,06/26/1981,,,Plan,,,
REZ1983-0028,Rezoning - Mixed Use,Superseded,,03/08/1983,,,Plan,,,"SHELL, MITCHELL"
REZ1983-0043,Rezoning - Residential,Superseded,,05/26/1983,,,Plan,,,
REZ1983-0034,Rezoning - Mixed Use,Withdrawn,,04/11/1983,,,Plan,,,
REZ1984-0007,Rezoning - Mixed Use,Withdrawn,,09/08/1983,,,Plan,,,
REZ1987-0086,Rezoning - Mixed Use,Withdrawn,,06/25/1987,,,Plan,,,PRINCE WILLIAM TOWN CENTER
REZ1989-0016,Rezoning - Mixed Use,Withdrawn,,08/24/1988,,,Plan,,,
REZ1987-0025,Rezoning - Mixed Use,Withdrawn,,10/10/1986,,,Plan,,,
REZ1988-0097,Rezoning - Mixed Use,Withdrawn,,06/09/1988,,,Plan,,,
REZ1987-0065,Rezoning - Mixed Use,Approved,,05/12/1987,,,Plan,7530 OLD LINTON HALL RD,7397-53-8334,
REZ1987-0041,Rezoning - Mixed Use,Withdrawn,,12/12/1986,,,Plan,,,
REZ1989-0053,Rezoning - Mixed Use,Withdrawn,,11/23/1988,,,Plan,,,
REZ1987-0049,Rezoning - Mixed Use,Withdrawn,,01/20/1987,,,Plan,,,
REZ1988-0065,Rezoning - Mixed Use,Withdrawn,,02/05/1988,,,Plan,,,OH NURSERY
REZ1987-0017,Rezoning - Mixed Use,Withdrawn,,09/25/1986,,,Plan,,,
REZ1990-0018,Rezoning - Mixed Use,Withdrawn,,09/18/1989,,,Plan,,,
