Case.Number,OBJECTID,Description,zoning_old,zoning_new,acres
PLN2008-00036,,"",,,
PLN2008-00020,,"",,,
PLN2013-00291,,REZ THE HAVEN AT HAYMARKET CROSSING,,,
PLN2007-00789,," REZONING, +/-1.01 A-1 TO R-4 TO ALLOW THE CONSTRUCTION OF 3 SFD, A-1, SRL",,R-4,
PLN2013-00323,,"REZ AMC ENTERPRISES, LLC (A-1 TO M-2); FEC; WITHIN AIRPORT SAFETY OVERLAY DISTRICT",,M-2,
REZ2022-00034,,"",,,
REZ2023-00021,,"8547 SUDLEY ROAD REZONING - THIS IS A REQUEST TO REZONE  1.0011 ACRES R-4, RESIDENTIAL TO B-1 GENERAL BUSINESS, TO CONSTRUCT A RESTAURANT AND FUTURE USES AND MARKET CONDITIONS. THE PROPERTY IS LOCATED AT 8547 SUDLEY ROAD; THE SUBJECT SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7696-95-6034 IS ZONED R-4, RESIDENTIAL; AND IS DESIGNATED COM-3, COMMERCIAL WITH A T-3 TRANSECT, ON THE PRINCE WILLIAM COMPREHENSIVE PLANS LONG- RANGE LAND USE MAP.  COLES MAGISTERIAL DISTRICT.",,REZONE,1.0011
PLN2012-00371,,REZ MANASSAS FAMILY DENTAL CARE CENTER; A-1 TO O(M); FEC & REC,,O,
PLN2007-00731,,REZ (VALUE PLACE HOTEL); A-1 TO O(H); FEC & REC,,O,
PLN2008-00086,,"TOKEN VALLEY ROAD PROPERTY
REZONE A-1, AGRICULTURAL TO SRR-1, SEMI-RURAL RESIDENTIAL ",,SRR-1,
REZ2024-00006,,MID-COUNTY INDUSTRIAL PARK,,,
PLN2007-00393,,"REZ (A-1, M-1, RIGHT OF WAY,  & PBD TO PMD); CEC & ER; PARKWAY HCOD",,PMD,
REZ2020-00023,,"PRIMELAND - THIS IS A REQUEST TO AMEND THE PROFFERS PURSUANT TO #REZ1989-0074 TO EXPAND THE PERMITTED USES TO ALLOW FOR A MIXED-USE DEVELOPMENT INCLUDING 16 MULTI-FAMILY UNITS.  THE 2.53-ACRE SITE IS LOCATED 131-FEET SOUTHEAST OF THE INTERSECTION OF PRINCE WILLIAM PARKWAY AND HOFFMAN DR., AND 1067-FEET NORTHWEST OF PRINCE WILLIAM PARKWAY AND ELM FARM DRIVE.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 8192-76-5856; IS ZONED B-1, GENERAL BUSINESS; AND IS DESIGNATED SN, SUBURBAN NEIGHBORHOOD, IN THE COMPREHENSIVE PLAN. THE PROPERTY ALSO FALLS WITHIN PRINCE WILLIAM PARKWAY HIGHWAY CORRIDOR OVERLAY DISTRICT, AND IS LOCATED WITHIN THE PARKWAY NODE OF THE DALE CITY SMALL AREA PLAN. NEABSCO MAGISTERIAL DISTRICT.",,AMEND,2.53
REZ2018-00022,,RESTAURANTS AT RIVER HERITAGE,,,
PLN2006-00640,,"CONCURRERNT REZONING TO CPA #PLN2006-00474, RIVER OAKS",,CPA,
PLN2008-00416,,REZ U-HAUL CENTER OF POTOMAC MILLS (M-2 TO B-1); RCC,,B-1,
PLN2012-00238,,REZ#PLN2005-00232-PLANNING DIRECTOR MODIFICATION FOR KENSINGTON PLACE,,,
PLN2007-00203,,"REZ  RIVERVIEW VILLAGE (B-1 TO PMR); UMU, WITHIN NORTH WOODBRIDGE STUDY AREA",,PMR,
