Case.Number,n_units_desc,n_sfd,n_sfa,n_mfd,n_unknown,n_unknown_pacre,n_age_restrict,n_affordable,proffer_details,res_cash_proffer,other_cash_proffer
13SN0140,Rezoning from Agricultural to Community Business on 0.7 acre known as 9930 Hull Street Road. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,There are no cash proffer contributions described in the passage.,,
12SN0241,"Rezoning from Residential Multifamily, Corporate Office, and Community Business to Community Business on 37.1 acres. No specific details about the proposed change or number/type of housing units are provided.",,,,,,,,There is no mention of any cash proffer contributions made by the developer in the passage.The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.,,
13SN0147,"Rezoning from Neighborhood Business to Community Business will allow for various permitted uses with certain restrictions, including communication towers less than 50 feet in height, veterinary hospital without outside run areas, and nightclub and cocktail lounge use incidental to a restaurant.",,,,,,,,The passage does not describe any cash proffer contributions made by the developer.No cash proffer contributions are described in the passage.,,
13SN0511,Rezoning from Corporate Office to Residential Multifamily will allow for the development of multifamily units on the property. The density will be controlled by zoning conditions or ordinance standards.,,,,,,,,"The developer has made the following cash proffer contributions: 
- None.",,
13SN0513,"Rezoning from Light Industrial (I-1) to General Industrial (I-2) with I-2 conditional use to permit a motor vehicle storage towing lot and motor repair on acres west line of Old Stage Road, 890 feet north of Battery Dantzler Road. Density will be controlled by zoning conditions or ordinance standards.",,,,,,,,"The developer has made the following cash proffer contributions: 
- No cash proffer contributions are described in the passage.",,
13SN0535,Rezoning from Community Business and Residential to Corporate Office with conditional use to permit a fire station. No information provided on number or type of housing units.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
13SN0161,"Rezoning from Light Industrial (I-1) to Light Industrial (I-1) with conditional use approval to permit commercial indoor and outdoor recreational uses, limited Community Business (C-3) uses, and outside public address system plus conditional use planned development to permit exceptions to ordinance requirements. Density will be controlled by zoning conditions or ordinance standards.",,,,,,,,The developer has proffered to construct additional pavement along Newbys Bridge Road at the approved access to provide left and right turn lanes and to relocate the ditch to provide an adequate shoulder along Newbys Bridge Road.There are no cash proffer contributions described in the passage.The passage does not describe any cash proffer contributions made by the developer.No cash proffer contributions are described in the passage.,,
13SN0505,Rezoning from Community Business to General Business will allow motor vehicle title lending.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
14SN0501,Rezoning from General Business to Agricultural with conditional use to permit cemetery use.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
14SN0509,Rezoning from Residential to Neighborhood Office on 1.4 acres of land. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
14SN0515,Rezoning from agricultural to neighborhood office will allow for the development of a neighborhood office building.,,,,,,,,The developer has made two cash proffer contributions in this rezoning case. The first proffer is the dedication of one hundred feet of right of way on the east side of Iron Bridge Road to Chesterfield County. The second proffer is the agreement to not have any direct vehicular access from the property to Route 10.,,
06SN0220,Rezoning from Agricultural and Residential to Residential will allow a maximum of 67 residential lots.,67,,,,,,,"The developer has made a cash proffer contribution in this rezoning case. The proffered condition states that for each dwelling unit, the applicant shall pay $18,009.66 prior to July 1, 2017, or $18,966 if paid after June 30, 2017 and before July 1, 2018, with the amount adjusted annually based on the change in the Marshall and Swift Building Cost Index.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.",18009.66,
14SN0516,"Rezoning from R-12, C-2, and C-3 to C-3 with conditional use for multifamily residential use and conditional use planned development. Density will be controlled by zoning conditions or ordinance standards. The proposed change includes a maximum of 62 multifamily dwelling units with no more than 2 bedrooms each. The first building constructed on the property will be a mixed-use building incorporating a minimum of 31 multifamily dwelling units. Architectural standards include consistency with the elevation and rendering prepared by Livas Group Architects, a minimum of 75% of the Chesterfield Avenue building facade and 60% of the remaining building facades (excluding windows and doors) being red or earth tone brick, and incorporation of design features such as masonry ornamentation and towers up to four stories.",,,62,,,,,"The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.The developer is required to make a cash proffer contribution of $2,000 per dwelling unit. The allocation of this contribution is as follows: $957 for schools, $126 for parks, $33 for libraries, $72 for fire stations, and $812 for roads.The passage does not describe any cash proffer contributions made by the developer.",2000,
14SN0542,Rezoning from Agricultural to Community Business on 2.2 acres fronting on Iron Bridge Road. The proposed change is for Corporate Office use.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
135N0527,Rezoning from Residential (R-7) to Business (C-3) on 10.7 acres located in the southwest quadrant of Iron Jessup Bridge Roads. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.The passage does not describe any cash proffer contributions made by the developer.,,
13SN0543,Rezoning from Agricultural to Community Business will occur. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,"""""",,
13SN0536,Rezoning from Agricultural to Residential will allow up to 42 lots with a density of 3.63 units per acre.,42,,,,,,,"The passage does not describe any cash proffer contributions made by the developer.For this rezoning case, the developer is required to make a cash proffer contribution to the County of Chesterfield. However, the specific amount of the cash proffer is not mentioned in the passage.The passage does not describe any cash proffer contributions made by the developer.No cash proffer contributions are described in the passage.The passage does not describe any cash proffer contributions made by the developer.",,
14SN0504,Rezoning from Agricultural to Residential (R-12) plus conditional use planned development on 25.7 acres. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.,,
14SN0553,Rezoning from Community Business (C-3) and General Business (C-5) to General Business (C-5) with conditions will allow for the development of a self-storage warehouse with limited exterior access to storage units. The development will be subject to architectural design elements and building materials specified in the proffered conditions. The outdoor advertising sign on the property will also be removed.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
14SN0560,Rezoning from Agricultural to Residential R-88 plus conditional use planned development on 17.6 acres. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.,,
145N0569,Rezoning from Residential (R-7) and Neighborhood Business (C-2) to Neighborhood Business (C-2) on 5 acres of land. The proposed change includes no specific details about the number or type of housing units that would be built.,,,,,,,,"The developer has made the following cash proffer contributions: 
- None.The passage does not describe any cash proffer contributions made by the developer.",,
13SN0527,Rezoning from Residential to Community J Business on 10.7 acres located in the southwest quadrant of Jessup and Iron Bridge Roads. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.There are no cash proffer contributions described in the passage.No cash proffers are described in the passage.,,
14SN0588,Rezoning from Residential to Neighborhood Office will allow exceptions and conditional use planned to ordinance requirements relative to buffers and amendment of zoning district map. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
15SN0510,Rezoning from Community Business to Residential will allow residential use of up to 3.63 units per acre.,,,,,3.63,,,The passage does not describe any cash proffer contributions made by the developer.,,
14SN0565,"Rezoning from Agricultural to Community Business (C-3) on 1.5 acres of land. The proposed land use does not conform to the Comprehensive Plan, which suggests the property is appropriate for Suburban Residential II uses. The proposed zoning and land uses would be more intense than uses currently permitted and does not conform to the Plan.",,,,,,,,The passage does not describe any cash proffer contributions made by the developer.No cash proffers are described in the passage.,,
15SN0597,Rezoning from General Business to Community Business plus conditional use planned development on 1.6 acres known as 11640 Jefferson Davis Highway. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,The developer made the following cash proffer contributions: None.,,
