Case.Number,Part,Project.Name,Status,final_date,Acres,Address,Main.Parcel,zoning_old,zoning_new,isResi,hasCashProffer,submit_date,Description,Type,bos_votes_for,bos_votes_against
02-15,1,Blue Ridge Youth Soccer Association,Approved,07/08/15,20.54,,77-A-26A,B2,RA,0,,04/07/15,,Rezoning,,
03-17,1,Rutherford Crossing,Approved,07/12/17,22.16,,43-A-99,M1,B2,0,1,05/09/17,,Rezoning,,
05-17,1,O-N Minerals/dba CARMEUSE LIME & STONE AMENDMENT TO REZONING #03-06,Denied,07/25/18,394.2,,"83-A-109, 90-A-23",EM,EM,0,1,10/17/17,,Amend Proffers,,
01-18,1,STONEWALL IV,Approved,08/08/18,88.91,,"43-A-21, 43-A-21B, 43-A-24",RA,M1,0,1,04/20/19,,Rezoning,,
01-14,1,COWPERWOOD FEMA,Approved,08/13/14,1.24,,,RA,B2,0,,06/20/14,,Rezoning,,
05-17,1,O-N Minerals/dba CARMEUSE LIME & STONE AMENDMENT TO REZONING #03-06,Approved,09/12/18,394.2,,"83-A-109, 90-A-23",EM,EM,0,1,10/17/17,,Amend Proffers,,
02-18,1,ST. PAUL’S ON THE HILL,Approved,09/12/18,4.971,,,RP,RP,0,,07/20/18,,Other,,
02-19,1,"CB Ventures, LLC",Approved,09/11/19,1.04,,43-A-48E,B2,B3,0,1,07/03/17,,Rezoning,,
05-15,1,"Hiatt Run Condos, LLC",Approved,08/28/15,3,,44-A-17,RA,RP,0,0,09/11/15,,Rezoning,,
08-15,1,McCann Office Park,Approved,11/12/15,154.923,,"44-A-25A, 44-A-25B, 44-A-40",RA,RA,0,1,09/23/15,,Rezoning,,
08-15,2,McCann Office Park,Approved,11/12/15,6.18,,"44-A-25A, 44-A-25B, 44-A-40",RA,B2,0,1,09/23/15,,Rezoning,,
08-15,3,McCann Office Park,Approved,11/12/15,11.729,,"44-A-25A, 44-A-25B, 44-A-40",RA,M1,0,1,09/23/15,,Rezoning,,
08-15,4,McCann Office Park,Approved,11/12/15,93.246,,"44-A-25A, 44-A-25B, 44-A-40",RA,OM,0,1,09/23/15,,Rezoning,,
09-15,1,Artillery Business Center,Approved,12/09/15,,,,,,,,09/28/15,,Amend Proffers,,
04-18,1,Tasker Road & Warrior Drive Commercial Properties,Approved,02/13/19,20.24,,"75-A-104, 75-A-104E",B2,B2,0,1,10/18/18,,Amend Proffers,,
04-18,2,Tasker Road & Warrior Drive Commercial Properties,Approved,02/13/19,0.62,,"75-A-104, 75-A-104E",RP,RP,0,1,10/18/18,,Amend Proffers,,
04-19,1,"Perry Properties, LLC",Approved,01/08/20,6.18,,64-A-158,M1,B2,0,1,10/22/19,,Rezoning,,
07-15,1,"Woodside Land Company, LLC",Approved,12/09/15,20,,34-A-6D,RA,M2,0,1,09/24/15,,Rezoning,7,0
04-17,1,Carbaugh Business Center,Approved,12/13/17,107.21,831 Shady Elm Road,"74-A-68, 74-A-69",RA,M1,0,1,10/06/17,,Rezoning,7,0
