final_date,Case.Number,acres,Status,bos_votes_for,bos_votes_against,zoning_old,zoning_new,n_sfd,n_unknown,n_mfd,n_age_restrict,res_cash_proffer,other_cash_proffer,submit_date,planning_hearing_date,Type,Description
2015-01-06,RZ-2014-00001,0.299,Denied,1,4,R-3,B-2,,,,,0,0,,12/04/14,Rezoning,
2015-01-06,RZ-2014-00004,1.295,Approved,5,0,R-3,B-2,,,,,0,0,,12/04/14,Rezoning,
2015-01-06,RZ-2014-00002,0.679,Approved,5,0,A-2,R-3,1,,,,0,0,,10/02/14,Rezoning,
2015-05-05,RZ-2015-00002,14.161,Approved,5,0,A-2,R-R,1,,,,0,0,,04/02/15,Rezoning,
2015-05-05,RZ-2015-00001,127.94,Approved,5,0,A-2,R-P,29,,,,14250,0,,04/02/15,Rezoning,
2015-07-07,RZ-2015-00003,1.646,Approved,5,0,R-3,R-O,,,,,0,0,,06/04/15,Rezoning,
2015-07-07,RZ-2015-00004,6.93,Approved,5,0,M-1,B-1,,,,64,0,0,,06/04/15,Rezoning,
2016-01-05,RZ-2015-00006,23.548,Approved,5,0,"A-2, R-3, B-1",R-1,16,,,,14250,0,,12/03/15,Rezoning,
2016-02-02,RZ-2015-00007,10.75,Approved,5,0,M-1,B-1,,,,,0,0,,01/07/16,Rezoning,
2016-04-05,RZ-2016-00001,8.647,Approved,4,0,A-2,RPUD,5,,,,0,0,,03/03/16,Rezoning,
2016-04-05,RZ-2016-00002,1.78,Approved,4,0,"A-2, R-N",B-1,,,,,0,0,,03/03/16,Rezoning,
2016-05-03,RZ-2016-00003,18.6,Approved,5,0,"M-2, R-3, B-1",B-1,,,,,0,0,,04/07/16,Rezoning,
2016-08-02,RZ-2016-00004,22.803,Approved,5,0,"A-2, R-3",B-1,,,,,0,0,,05/05/16,Rezoning,
2016-12-06,RZ-2016-00006,18.9,Approved,5,0,A-2,M-2,,,,,0,0,,11/03/16,Rezoning,
2017-02-07,RZ-1983-00002,,Approved,,,,,,,,,,,,,Amend Proffers,
2017-04-18,RZ-2016-00007,7.66,Approved,5,0,A-2,M-1,,,,,0,0,,03/02/17,Rezoning,
2017-07-05,RZ-2017-00004,13.16,Approved,5,0,A-2,B-1,,,,,0,0,,06/01/17,Rezoning,
2017-07-05,RZ-2017-00003,11.53,Approved,5,0,A-2,M-2,,,,,0,0,,06/01/17,Rezoning,
2017-11-08,RZ-2017-00008,10,Approved,4,0,A-1,R-R,1,,,,0,0,,10/05/17,Rezoning,
2018-01-03,RZ-2017-00009,4.45,Approved,5,0,R-3,M-1,,,,,0,0,,12/07/17,Rezoning,
2018-03-06,RZ-2017-00002,11.155,Denied,4,0,A-2,R-1,5,,,,12591,0,,10/05/17,Rezoning,
2018-03-06,RZ-2017-00010,23.548,Approved,4,0,R-1,R-3,30,,,,19348,0,,12/07/17,Rezoning,
2018-03-13,RZ-2017-00001,207.839,Approved,4,0,M-1,RPUD,,,,520,4966,0,,12/02/17,Rezoning,
2018-04-17,RZ-2017-00006,152.91,Approved,4,0,RPUD,RPUD,-3,,,,12592,0,,12/02/17,Rezoning,"Project combined two existing, undeveloped RPUD subdivisions which were zoned for 206 and 100 units, resulting in a net loss of 3 units."
2018-08-07,RZ-2018-00001,5,Approved,5,0,A-1,R-R,1,,,,0,0,,06/28/18,Rezoning,
2018-10-02,RZ-2018-00002,28.7,Approved,5,0,"A-2, RPUD",RPUD,,,,65,4937,0,,08/02/18,Rezoning,
2018-11-07,RZ-2018-00003,18.71,Approved,5,0,"A-2, R-R",R-R,3,,,,12591,0,,10/04/18,Rezoning,
2018-11-07,RZ-2018-00004,3.04,Approved,5,0,A-2,R-N,5,,,,12585,0,,10/04/18,Rezoning,
2018-12-04,RZ-2018-00005,1.525,Approved,5,0,B-2,R-O,,,,,0,0,,11/01/18,Rezoning,
2019-02-05,RZ-2018-00008,14.64,Approved,5,0,A-2,R-R,1,,,,0,0,,01/03/19,Rezoning,
2019-03-05,RZ-2018-00009,17.87,Approved,5,0,A-1,R-R,1,,,,0,0,,01/03/19,Rezoning,
2019-04-16,RZ-2019-00001,1.25,Approved,5,0,A-1,B-1,,,,,0,0,,03/07/19,Rezoning,
2019-04-16,RZ-2019-00002,3.082,Approved,5,0,"B-1, R-N, M-1",B-1,,,,,0,0,,03/07/19,Rezoning,
2019-05-07,RZ-2018-00011,56.3,Approved,5,0,"A-2, R-3",R-3,64,,,,19334,0,,02/07/19,Rezoning,
2019-06-04,RZ-2019-00003,13.09,Approved,5,0,A-1,R-R,1,,,,0,0,,5/2/2019,Rezoning,
2019-07-02,RZ-2018-00010,98.225,Approved,4,1,"A-2, R-1",RPUD,98,,,,12586,0,,02/07/19,Rezoning,
2019-08-06,RZ-2019-00004,1.832,Approved,5,0,B-2,B-1,,,,,0,0,,6/27/2019,Rezoning,
2019-09-03,RZ-2019-00005,3.327,Approved,5,0,B-1,B-3,,,,,0,0,,8/1/2019,Rezoning,
2019-09-03,RZ-2019-00006,222.206,Approved,5,0,R-P,A-2,,,,,0,0,,8/1/2019,Rezoning,Downzoning
2019-09-03,RZ-2019-00007,23.1,Approved,5,0,A-2,R-1,9,,,,9810,0,,8/1/2019,Rezoning,
2020-01-07,RZ-2019-00010,11.327,Approved,5,0,A-1,R-R,1,,,,0,0,,12/05/19,Rezoning,
2020-02-04,RZ-2019-00018,39.058,Approved,5,0,"B-1, R-1","MPUD, B-1",,234,,,4555,0,,12/05/19,Rezoning,
2020-03-04,RZ-2020-00001,3.346,Approved,5,0,B-1,A-1,1,,,,0,0,,02/06/20,Rezoning,
