Case.Number,Part,final_date,zoning_old,zoning_new,acres,Address,Status,bos_votes_for,bos_votes_against,n_sfd,n_sfa,n_unknown,n_mfd,n_age_restrict,res_cash_proffer,other_cash_proffer,submit_date,planning_hearing_date,Type,Description
C-13-13(C),,2/26/2014,A-1,AR-6(c),4.86,,Approved,7,0,1,,,,,2306,0,,,,
C-16-13(C,,3/12/2014,R-1,B-1(c),1.25,,Approved,7,0,,,,,,0,0,,,,
C-15-13(C),,3/12/2014,A-1,RS(c),17.71,,Approved,7,0,49,,,,,2306,0,,,,
C-25-08(C),,5/28/2014,A-1,B-1(c),1.47,,Approved,7,0,,,,,,0,0,,,,
C-2-14(C),,6/25/2014,A-1,AR-6(c),6.18,,Approved,7,0,1,,,,,0,0,,,,
C-9-13(C),,6/25/2014,A-1,"RM(c), B-1(c)",25.45,,Approved,7,0,48,73,,,,2306,0,,,,
C-6-14,,7/23/2014,B-1,M-2,0.89,,Approved,6,0,,,,,,0,0,,,,
C-12-13(C),,9/24/2014,A-1,AR-6(c),22.7,,Approved,7,0,3,,,,,2306,0,,,,
C-9-14(C),,9/24/2014,A-1,AR-6(c),14.9,,Approved,7,0,1,,,,,2306,0,,,,
C-11-14(C),,9/24/2014,R-1,B-1(c),4.14,,Approved,7,0,,,,,106,0,0,,,,
C-12-14(C),,10/22/2014,A-1,B-3,4.82,,Approved,7,0,,,,,,0,0,,,,
C-10-14(C),,10/22/2014,A-1,B-1(c),1.36,,Approved,7,0,,,,,,0,0,,,,
C-3-14(C),,10/22/2014,A-1,RS(c),62.04,,Approved,5,2,142,,,,,2306,0,,,,
C-7-14(C)a,,10/22/2014,A-1,RS(c),41.94,,Denied,3,4,68,,,,,6671,0,,,,
C-16-14(C),,12/10/2014,A-1,"AR-6(c), M-2(c)",9.07,,Approved,7,0,1,,,,,2306,0,,,,
C-15-14(C),,12/10/2014,A-1,AR-6(c),23.49,,Approved,7,0,2,,,,,2306,0,,,,
C-7-14(C)b,,12/10/2014,A-1,RS(c),41.94,,Approved,5,2,68,,,,,6671,0,,,,
C-20-14(C),,1/28/2015,A-1,AR-6(c),4,,Approved,6,0,1,,,,,0,0,,,,
