Case.Number,Part,Description,zoning_old,zoning_new,acres,n_unknown,n_mfa,n_sfd,n_sfa,n_age_restrict,n_affordable
ZMAP-2009-0005,1,"STONEWALL HYBRID ENERGY PARK : Rezone 101 acres to PD-GI in order to develop a 980 MW utility        generating plant and transmission facility (natural gas, steam, solar)",,PDGI,101,,,,,,
ZMAP-2009-0006,1,"MORLEY CORNER - TEMPLE BAPTIST CHURCH : Rezone from PD-CC-NC to PD-OP and PD-CC-CC for proposed church, private school accessory to a church.",PD-CC-NC,PDCCNC,,,,,,,
ZMAP-2009-0006,2,"MORLEY CORNER - TEMPLE BAPTIST CHURCH : Rezone from PD-CC-NC to PD-OP and PD-CC-CC for proposed church, private school accessory to a church.",PD-CC-NC,PDOP,,,,,,,
ZMAP-2009-0007,1,WATERFORD HISTORIC DISTRICT ADDITIONS : Rezone 20 parcels totaling 458 acres to be included in the Waterford Historic and Cultural Conservation Overlay District.,,,458,,,,,,
ZMAP-2010-0001,1,LCPS - HS 7 DULLES SOUTH & ELEM SCHOOL : A ZMAP request to rezone 3.0 acres from PDGI to TR1UBF for the        proposed HS7 Dulles South High School and future elementary school.,PDGI,TR1UBF,3,,,,,,
ZMAP-2010-0002,1,ARCOLA COMMERCIAL CENTER : A zoning map amendment to rezone approximately 4.17 acres from RC to  GB and a ZCPA 2010-0001 to amend the ZMAP 1999-0001 proffers (20.25   total acres),RC,GB,4.17,,,,,,
ZMAP-2010-0002,2,ARCOLA COMMERCIAL CENTER : A zoning map amendment to rezone approximately 4.17 acres from RC to  GB and a ZCPA 2010-0001 to amend the ZMAP 1999-0001 proffers (20.25   total acres),RC,GB,,,,,,,
ZMAP-2010-0003,1,"DULLES WORLD CENTER : A request to rezone 75 acres from PD-RDP under the 1972 Zoning        Ordinance to PD-TC and PD-OP under the Revised 1993 Zoning Ordinance  to permit 1,495 residential dwelling units and 4,080,600 square feet  of nonresidential uses.",PD-RDP,"PDTC, PDOP",75,1495,,,,,
ZMAP-2010-0004,1,LOUDOUN VALLEY ESTATES III : Board of Supervisors initiated remapping of approximately 265 acres    from PD-GI to R-1,PD-GI,R1,265,,,,,,
ZMAP-2010-0005,1,"FARMWELL HUNT LAKE ACCESS & BOAT RAMP : Ashburn Corporate Center, ZMAP 1991-0001, proffer 25 provides for the developer to grant public access to western most lake and construct a boat ramp.  This proffer has not been fulfilled.  Toll Brothers       presented bond release for last 2 bonds; this item needs to be        addressed.                                                            25. The Applicant shall provide for access and use by Loudoun County  residents of two of the recreational amenities, namely, the boat ramp and the westernmost lake as generally shown on the Plat.",,,,,,,,,
ZMAP-2010-0006,1,QN EXPANSION - LUCK STONE LEESBURG : Amend the Zoning Map to expand the Quarry Notification Overlay District (QN).,,,,,,,,,
ZMAP-2010-0007,1,"LOUDOUN CENTER : Rezone 92 acres from PD-OP to PD-MUB and PD-OP (4 acres) to allow     196,000 sf commercial/retail, 856,870 sf employment uses, 643,130 sf  data centers and 744 multi-family units with various modifications.",PDOP,"PDMUB, PDOP",92,,744,,,,
ZMAP-2010-0008,1,"LOUDOUN METRO : Rezone 232.92 acres from PD-OP and PD-RDP to PD-TC, PD-MUB, and R-24 to allow 1,055,000 sf commercial/retail/hotel, 2,422,000 sf office/data center uses and 4,810 multi-family units with modifications","PDOP, PDRDP","PD-TC, PD-MUB, R-24",,,4810,,,,
ZMAP-2011-0001,1,"STONE RIDGE : Rezone approximately 1.5 acres from PDH-4 to PD-IP for hospice care   facility and rezone 10 acres from PD-IP to GB. Co-processed with ZCPA 2011-0003, SPEX 2011-0001, SPEX 2011-0002, and SPMI 2011-0002.",PD-IP,GB,10,,,,,,
