Case.Number,OBJECTID,Part,Description,zoning_old,zoning_new,acres,n_sfd,n_sfa,n_mfd,n_unknown,n_affordable,n_age_restrict
PLN2006-00640,,,"CONCURRERNT REZONING TO CPA #PLN2006-00474, RIVER OAKS",,,,,,,,,
PLN2006-00781,61012,,REZONE 125.3 ACRES FROM A-1 TO PMR; CONCURRENT WITH CPA #PLN2006-00438 FROM AE TO SRL,A-1,PMR,125.3,,,,,,
PLN2007-00146,343,,"REZ ENGLISH OAKS II COMMERCE CENTER; A-1 TO O(M); OFFICE
",A-1,O(M),,,,,,,
PLN2007-00203,,,"REZ  RIVERVIEW VILLAGE (B-1 TO PMR); UMU, WITHIN NORTH WOODBRIDGE STUDY AREA",B-1,PMR,,,,,,,
PLN2007-00239,344,,REZ BAYWOOD HOTELS-POTOMAC MILLS (A-1 TO O(H),A-1,O(H),,,,,,,
PLN2007-00260,2884,,"REZ EBENEZER BAPTIST CHURCH (B-1 & A-1 TO O(M) & SIGN WAIVERS; REC, MINNIEVILLE RD. HCOD, & PARKWAY EMPLOYMENT CENTER SECTOR PLAN","B-1, A-1",O(M),,,,,,,
PLN2007-00274,226,,"REZ - ORCHARD GLEN REZONING - REQUEST TO REZONE .869 ACRE SITE FROM OFFICE LOW RISE, 0(L), TO OFFICE FLEX, O(F). THERE IS A COMPANION SPECIAL USE PERMIT THAT REQUESTS FOR AN ALLOWANCE OF THE DEVELOPMENT OF A 3 STORY SELF STORAGE FACILITY.  THE SITE IS LOCATED ON THE SOUTH SIDE OF COVERSTONE DRIVE, APPROX. 280 FEET WEST OF SAGE STREET.  THE LONG RANGE LAND USE PLAN DESIGNATION FOR THIS REZONING IS SURBURBAN RESIDENTIAL HIGH, SRH.",O(L),O(F),0.87,,,,,,
PLN2007-00280,11899,,REZ TELEGRAPH ROAD HOTEL (A-1 TO B-1); INCREASE BLDG. HEIGHT & FAR TO ALLOW A 125-ROOM HOTEL & MODIFY SIGN PROVISIONS TO ALLOW AN ADDITIONAL FACADE SIGN; RCC & ER,A-1,B-1,,,,,,,
PLN2007-00299,986,,REQUEST TO REZONE 3.5 ACRES FROM A-1 TO M-1,A-1,M-1,3.5,,,,,,
PLN2007-00393,,,"REZ (A-1, M-1, RIGHT OF WAY,  & PBD TO PMD); CEC & ER; PARKWAY HCOD","A-1, M-1, PBD",PMD,,,,,,,
PLN2007-00406,70235,,REZONE 8.8 ACRES FROM M-2 TO M-T; M-2; EI,M-2,M/T,8.8,,,,,,
PLN2007-00511,,,TO REZONE 1.78 ACRES FROM A-1 AND PMR TO R-4,"A-1, PMR",R-4,1.78,,,,,,
PLN2007-00516,351,,TO REZONE +/- .55 ACRES FROM R-4 TO B-1,R-4,B-1,0.55,,,,,,
PLN2007-00522,72308,,"REZ, A-1 TO M-2, REC AND PART OF TEOD WITH EO SUBDISTRICT DESIGNATION.",A-1,M-2,,,,,,,
PLN2007-00535,72309,,"**THIS CASE IS IN THE COUNTY ATTORNEY'S POSSESSION**
THIS IS A REZONING REQUEST TO AMEND COUNTY DECLARATION FOR INNOVATION DEVELOPMENT STANDARDS ",,,,,,,,,
PLN2007-00585,1294,,REZ (M-2 & PBD TO B-1); RCC; PW PKY HCOD,"M-2, PBD",B-1,,,,,,,
PLN2007-00598,1478,,"REZ, RENTAL SERVICES CORPORATION (CONSTRUCTION EQUIPMENT); M-2 TO M-1; EI; 2.165 ACRES; LOCATED AT 11104 INDUSTRIAL ROAD; INCLUDES EXISTING 9, 900 SQFT TWO STORY BUILDING AND PROPOSES ADDITION-2,100 SQFT. ",M-2,M-1,2.17,,,,,,
PLN2007-00629,,,TO REZONE 29.5 ACRES FROM A-1 TO R-4 TO PERMIT THE DEVELOPMENT OF A MAXIMUM OF SEVENTY ONE SINGLE FAMILY DETACHED UNITS. THE PROPERTY IS DESIGNATED SRL.,A-1,R-4,29.5,71,,,,,
PLN2007-00668,1830,,REZ GONZALES PROPERTY (REZONE +/-1.39 ACRES FROM R-4 (0.34 AC) & B-1 (1.046 AC) TO R-4 AND B-2; WITHIN POTOMAC COMMUNITIES AND TRIANGLE STUDY AREA; NC,R-4,R-4,0.34,,,,,,
PLN2007-00668,1833,,REZ GONZALES PROPERTY (REZONE +/-1.39 ACRES FROM R-4 (0.34 AC) & B-1 (1.046 AC) TO R-4 AND B-2; WITHIN POTOMAC COMMUNITIES AND TRIANGLE STUDY AREA; NC,B-1,B-2,1.046,,,,,,
PLN2007-00678,1313,,REZ JOSE L. PENA PROPERTY (A-1 TO R-4); SRL,A-1,R-4,,,,,,,
PLN2007-00693,4162,,REZ BRISTOW COMMONS (A-1 & R-4 TO B-2),"A-1, R-4",B-2,,,,,,,
PLN2007-00731,,,REZ (VALUE PLACE HOTEL); A-1 TO O(H); FEC & REC,A-1,O(H),,,,,,,
PLN2007-00755,,,"REZONE 21.7 AC FROM A-1 AND B-1 TO O(H) FOR A MAX OF 360 MULTI-FAMILY, 200,000 SQ FT OF OFFICE & RETAIL, TWO FREESTANDING HOTELS & MODIFICATIONS & WAIVERS; OFFICE; WITHIN POTOMAC COMMUNITIES REVITALIZATION PLAN AND WITHIN THE NEABSCO MILLS STUDY AREA","A-1, B-1",O(H),21.7,,,360,,,
PLN2007-00789,,," REZONING, +/-1.01 A-1 TO R-4 TO ALLOW THE CONSTRUCTION OF 3 SFD, A-1, SRL",A-1,R-4,1.01,3,,,,,
